SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1198.00,1224.25,1187.50,1201.60,1201.60,1197.90,1514,8767,10590907.00,
500003,AEGIS LOGIS ,B ,Q,435.00,440.45,423.00,429.20,429.20,434.95,531,5264,2276955.00,
500008,AMAR RAJA BA,A ,Q,797.00,827.00,797.00,819.85,819.85,794.80,3033,32103,26349016.00,
500009,A.SARABHAI  ,B ,Q,4.21,4.99,4.21,4.46,4.46,4.56,49,7138,31888.00,
500010,HDFC        ,A ,Q,1095.00,1135.00,1095.00,1114.05,1114.05,1101.10,3610,68393,75815600.00,
500012,ANDHRA PETRO,B ,Q,12.19,12.70,11.90,12.04,12.04,12.19,303,75363,918722.00,
500013,ANSAL INFRAS,B ,Q,24.30,24.50,23.70,23.95,23.95,24.20,195,20958,504398.00,
500014,APPLE FINANC,B ,Q,2.61,3.05,2.60,2.71,2.90,2.88,48,6041,16639.00,
500020,BOM DYEING  ,B ,Q,65.20,65.70,64.45,65.20,65.20,65.05,2314,176253,11496543.00,
500023,ASIANHOTNR  ,B ,Q,116.10,119.65,116.00,116.25,116.00,118.05,22,275,32171.00,
500024,ASSAMCO     ,B ,Q,4.08,4.21,4.06,4.07,4.07,4.08,235,215881,893465.00,
500027,ATUL LTD.   ,A ,Q,1361.00,1379.90,1345.00,1350.20,1348.05,1360.20,516,2562,3474939.00,
500028,ATV PROJECTS,T ,Q,3.01,3.01,2.73,2.97,2.99,2.87,53,11664,32422.00,
500029,AUTOLITE(I) ,B ,Q,35.30,35.30,32.65,34.25,34.25,33.80,9,500,16937.00,
500030,AUTORID.FIN ,B ,Q,0.78,0.80,0.78,0.80,0.80,0.82,16,5000,3930.00,
500031,BAJAJ ELECT.,A ,Q,218.60,223.60,218.60,219.85,219.85,217.85,1024,22728,5019033.00,
500032,BAJAJHIND.LT,B ,Q,19.00,19.10,18.65,18.70,18.70,18.70,1363,302784,5690518.00,
500033,FORCE MOTR  ,B ,Q,1067.00,1093.30,1050.00,1057.45,1057.45,1071.50,4958,49126,52539380.00,
500034,BAJFINANCE  ,A ,Q,3440.00,3475.00,3400.00,3460.95,3468.00,3419.55,377,811,2798538.00,
500038,BALRAM.CHINI,A ,Q,58.25,58.80,57.55,58.25,58.55,57.55,799,28551,1658255.00,
500039,BANCO PROD. ,B ,Q,159.25,162.95,158.75,161.05,161.05,160.80,551,13697,2196983.00,
500040,CENTURY TEXT,A ,Q,506.00,519.40,504.00,513.55,513.55,510.65,4811,99725,51125473.00,
500041,BANNARI AMAN,B ,Q,1122.00,1134.90,1122.00,1123.65,1123.00,1140.00,10,39,43788.00,
500042,BASF INDIA  ,B ,Q,1195.75,1208.30,1178.00,1199.60,1199.60,1199.95,652,2774,3300167.00,
500043,BATA INDIA  ,A ,Q,1279.80,1305.05,1267.50,1279.45,1275.10,1273.40,966,144487,184938566.00,
500048,BEML LTD    ,A ,Q,692.35,711.00,680.00,696.65,696.65,689.55,6221,78993,55123190.00,
500049,BHARAT ELECT,A ,Q,2747.45,2755.00,2709.10,2721.30,2721.30,2726.60,1790,10829,29534585.00,
500052,BHANSALI ENG,B ,Q,13.25,13.50,13.25,13.50,13.50,13.26,8,20363,272895.00,
500055,BHUSH STEEL ,A ,Q,88.90,89.90,87.40,88.05,88.05,87.20,1350,41352,3653859.00,
500057,ABCIL       ,B ,Q,199.05,219.45,199.05,214.25,219.45,202.25,429,3197,673566.00,
500058,BIHAR SPONGE,T ,Q,3.03,3.14,3.02,3.14,3.14,3.17,44,9903,30070.00,
500059,BINANI IND. ,B ,Q,98.00,101.00,97.00,99.05,97.00,98.60,422,14662,1452324.00,
500060,BIRLA ERIC. ,T ,Q,69.70,69.70,66.45,68.00,68.25,69.20,111,7073,481331.00,
500067,BLUE STAR   ,B ,Q,313.60,314.00,310.00,311.45,311.00,312.85,166,727,226722.00,
500068,DISA INDIA  ,B ,Q,4150.00,4150.00,4150.00,4150.00,4150.00,4125.00,4,4,16600.00,
500069,BNK CAPITAL ,B ,Q,33.80,39.45,33.80,38.85,39.45,32.90,39,9122,354598.00,
500074,BPL LTD.    ,B ,Q,23.05,24.50,22.90,23.75,23.75,22.85,2987,223544,5300891.00,
500078,CAMPH.& ALL ,B ,Q,290.00,290.00,277.05,285.40,285.50,280.15,101,2072,583537.00,
500083,CENTURY EXT ,B ,Q,2.19,2.19,1.91,1.95,1.99,1.94,324,2163,4149.00,
500084,CESC LTD.   ,A ,Q,651.80,658.30,645.10,650.45,650.45,649.05,2345,23819,15511516.00,
500085,CHAMBAL FERT,B ,Q,60.70,60.85,59.65,59.95,59.95,60.25,707,40227,2418533.00,
500086,EXIDE IND.  ,A ,Q,171.15,178.00,168.70,176.30,176.30,170.25,5497,343009,59703343.00,
500087,CIPLA LTD.  ,A ,Q,626.90,630.40,620.00,622.65,622.65,625.30,2697,55457,34587331.00,
500089,DIC INDIA   ,B ,Q,367.00,376.75,366.10,369.25,369.00,366.75,158,501,185412.00,
500092,CRISIL LTD  ,A ,Q,1960.05,1960.05,1930.00,1943.70,1960.00,1960.60,292,554,1077706.00,
500093,CROMPT.GREAV,A ,Q,179.55,181.50,178.20,180.75,180.75,179.95,4426,233024,41966750.00,
500096,DABUR (I)   ,A ,Q,226.80,231.80,225.60,229.90,229.90,229.05,1166,36858,8421406.00,
500097,DALMIASUG   ,B ,Q,21.50,22.00,21.10,21.50,21.50,21.75,184,13860,296380.00,
500101,ARVIND Ltd  ,A ,Q,270.00,280.00,267.75,277.60,277.60,269.60,6286,290294,79560762.00,
500102,BALARPUR IND,B ,Q,15.50,15.70,15.40,15.45,15.45,15.40,665,226116,3511115.00,
500103,BHEL        ,A ,Q,255.00,257.70,250.50,251.75,251.75,254.95,5516,262938,66594270.00,
500104,HIND.PETRO  ,A ,Q,552.00,553.85,535.30,541.90,541.90,550.35,6694,166537,90083585.00,
