SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1308.70,1322.20,1280.20,1289.75,1289.75,1299.85,1460,8526,11096586.00,
500003,AEGIS LOGIS ,B ,Q,448.80,454.00,441.15,444.20,444.20,446.20,1126,7905,3552908.00,
500008,AMAR RAJA BA,A ,Q,818.45,824.75,803.00,806.25,806.25,817.30,1480,15900,12963047.00,
500009,A.SARABHAI  ,B ,Q,4.61,4.90,4.61,4.67,4.67,4.61,32,3648,17046.00,
500010,HDFC        ,A ,Q,1123.00,1176.90,1123.00,1171.80,1171.80,1123.45,7138,91131,105759158.00,
500012,ANDHRA PETRO,B ,Q,11.10,11.50,10.86,10.98,10.98,11.18,457,80716,906914.00,
500013,ANSAL INFRAS,B ,Q,24.65,27.25,24.60,26.70,26.35,24.55,748,81991,2122896.00,
500014,APPLE FINANC,B ,Q,2.75,2.95,2.65,2.69,2.65,2.81,42,5079,13887.00,
500020,BOM DYEING  ,B ,Q,67.00,68.60,67.00,67.75,67.75,67.15,3151,306800,20861670.00,
500023,ASIANHOTNR  ,B ,Q,130.00,132.00,130.00,130.00,130.00,128.15,19,2389,310824.00,
500024,ASSAMCO     ,B ,Q,5.50,5.64,5.30,5.32,5.32,5.39,956,641459,3455632.00,
500027,ATUL LTD.   ,A ,Q,1380.00,1380.00,1350.00,1359.15,1350.00,1370.25,357,1795,2462346.00,
500028,ATV PROJECTS,T ,Q,3.00,3.08,2.88,3.07,3.07,3.00,22,857,2534.00,
500029,AUTOLITE(I) ,B ,Q,35.50,37.20,35.50,36.70,36.70,36.05,84,6872,251269.00,
500030,AUTORID.FIN ,B ,Q,0.72,0.73,0.70,0.70,0.70,0.77,32,44300,31100.00,
500031,BAJAJ ELECT.,A ,Q,234.00,240.40,230.55,237.45,237.45,232.55,5730,147481,34893421.00,
500032,BAJAJHIND.LT,B ,Q,19.00,19.50,18.80,18.90,18.90,19.05,1552,443189,8477750.00,
500033,FORCE MOTR  ,B ,Q,1201.00,1220.00,1160.25,1168.05,1168.05,1193.05,11703,142591,170497770.00,
500034,BAJFINANCE  ,A ,Q,3496.65,3520.00,3419.00,3438.55,3438.55,3484.65,485,13431,47161819.00,
500038,BALRAM.CHINI,A ,Q,60.05,61.25,59.60,60.15,60.15,59.95,1049,51697,3123759.00,
500039,BANCO PROD. ,B ,Q,161.50,166.00,158.40,160.30,160.30,159.40,1092,19018,3082210.00,
500040,CENTURY TEXT,A ,Q,527.00,540.00,525.95,533.45,533.45,525.40,3214,65685,35059876.00,
500041,BANNARI AMAN,B ,Q,1173.00,1173.00,1136.00,1136.00,1136.00,1181.00,8,16,18731.00,
500042,BASF INDIA  ,B ,Q,1292.00,1309.00,1260.00,1268.10,1268.10,1292.05,971,5077,6501895.00,
500043,BATA INDIA  ,A ,Q,1303.00,1334.90,1303.00,1320.60,1323.90,1299.05,1610,14770,19565593.00,
500048,BEML LTD    ,A ,Q,792.50,802.90,779.00,783.65,783.65,788.50,6037,89684,70946839.00,
500049,BHARAT ELECT,A ,Q,2928.00,2966.10,2889.50,2926.10,2926.10,2953.00,3984,17081,50083478.00,
500051,BHAG GAS    ,Z ,Q,0.92,0.92,0.92,0.92,0.92,0.88,26,1300,1196.00,
500052,BHANSALI ENG,B ,Q,15.90,15.90,14.70,14.75,14.75,15.40,17,1478,22183.00,
500055,BHUSH STEEL ,A ,Q,87.50,90.60,87.50,89.40,89.40,88.35,1105,38463,3442342.00,
500057,ABCIL       ,B ,Q,222.50,226.00,222.50,223.35,223.35,220.75,253,1790,401599.00,
500058,BIHAR SPONGE,T ,Q,3.02,3.20,3.02,3.07,3.20,3.13,18,2401,7352.00,
500059,BINANI IND. ,B ,Q,102.55,106.65,102.45,104.40,104.40,101.55,850,26362,2766911.00,
500060,BIRLA ERIC. ,T ,Q,72.85,72.85,70.35,70.50,70.50,72.05,173,13842,989006.00,
500067,BLUE STAR   ,B ,Q,333.00,335.00,329.00,330.35,330.35,331.30,488,5570,1845872.00,
500068,DISA INDIA  ,B ,Q,4200.00,4200.00,4200.00,4200.00,4200.00,4109.85,2,1,4200.00,
500069,BNK CAPITAL ,B ,Q,56.90,56.90,50.55,51.40,52.00,56.05,444,30690,1619210.00,
500074,BPL LTD.    ,B ,Q,34.45,34.45,32.00,32.70,32.70,33.50,4823,370171,12302018.00,
500078,CAMPH.& ALL ,B ,Q,276.00,309.00,275.30,278.75,275.30,273.45,216,6902,1935456.00,
500083,CENTURY EXT ,B ,Q,1.90,1.90,1.88,1.88,1.88,1.85,8,240,455.00,
500084,CESC LTD.   ,A ,Q,667.00,686.00,667.00,674.65,674.65,662.40,2574,28823,19498739.00,
500085,CHAMBAL FERT,B ,Q,61.45,62.40,61.25,61.70,61.70,61.05,806,52917,3278111.00,
500086,EXIDE IND.  ,A ,Q,189.35,190.00,183.50,184.50,184.50,187.75,7361,417213,77977802.00,
500087,CIPLA LTD.  ,A ,Q,628.05,637.50,628.05,630.15,630.15,628.25,2775,62014,39279009.00,
500089,DIC INDIA   ,B ,Q,387.00,387.60,378.85,381.95,385.00,380.25,235,1147,438833.00,
500092,CRISIL LTD  ,A ,Q,1935.00,1960.00,1928.20,1947.60,1949.75,1930.45,507,1375,2674707.00,
500093,CROMPT.GREAV,A ,Q,187.80,189.00,185.60,186.70,186.70,186.80,5329,320420,60114641.00,
500096,DABUR (I)   ,A ,Q,233.30,235.65,232.25,235.00,234.55,232.20,1111,38898,9102576.00,
500097,DALMIASUG   ,B ,Q,22.50,23.35,22.30,22.75,22.40,22.70,58,6876,157036.00,
500101,ARVIND Ltd  ,A ,Q,282.00,289.35,280.15,282.00,282.00,281.55,7737,353085,100757697.00,
500102,BALARPUR IND,B ,Q,15.60,16.20,15.60,15.95,15.95,15.80,804,269438,4308777.00,
500103,BHEL        ,A ,Q,270.00,276.65,269.00,275.40,275.40,268.30,9474,409562,112333152.00,
500104,HIND.PETRO  ,A ,Q,548.00,554.90,544.25,546.30,546.30,550.40,4737,82674,45390494.00,
500106,IFCI LTD    ,A ,Q,37.70,38.40,37.70,38.10,38.10,37.85,2751,540458,20612607.00,
500108,MAHA.TELE   ,B ,Q,27.85,28.20,27.50,27.55,27.55,27.65,2505,487668,13542631.00,
500109,MRPL        ,A ,Q,48.10,49.00,47.80,48.10,48.10,47.80,1247,104386,5046501.00,
500110,CHENNAI PET.,B ,Q,73.10,74.70,73.05,73.30,73.30,73.20,1230,65762,4862937.00,
500111,REL.CAP.    ,A ,Q,499.00,508.40,496.05,498.95,498.95,497.65,18301,546436,274582585.00,
500112,STATE BANK  ,A ,Q,314.80,318.00,314.60,315.25,315.25,313.95,25426,1911714,605224976.00,
500113,STEEL AUTH. ,A ,Q,82.95,83.70,82.40,82.80,82.80,82.65,2456,251197,20902582.00,
500114,TITAN       ,A ,Q,379.80,387.80,379.80,382.15,382.15,379.10,2626,63542,24427982.00,
500116,IDBI BANK L ,A ,Q,75.05,78.50,75.05,76.90,76.90,74.90,10850,836614,64366877.00,
500117,DCW LTD.    ,B ,Q,17.75,18.30,17.75,18.00,18.00,17.80,805,117740,2126120.00,
500119,DHAMPUR SUGA,B ,Q,43.60,44.65,42.95,44.20,44.20,43.00,340,15595,688195.00,
500120,DIAMINES&CHM,B ,Q,32.55,33.40,31.25,33.40,33.40,32.90,20,1040,34460.00,
500123,ELANTAS     ,B ,Q,1070.00,1070.00,1033.00,1039.10,1033.00,1051.10,238,1571,1645217.00,
500124,DR.REDDY'S  ,A ,Q,3223.65,3266.00,3210.75,3217.35,3217.35,3211.60,1247,6630,21400088.00,
500125,E.I.D.PAR   ,A ,Q,201.00,202.90,198.80,199.15,199.15,199.40,500,13073,2611826.00,
500126,MERCK LTD   ,B ,Q,804.70,820.15,799.00,807.25,807.25,801.90,1074,7934,6436624.00,
500128,ELEC.CASTING,B ,Q,18.45,18.85,18.15,18.45,18.45,18.30,879,122163,2270507.00,
500132,EMPEE SUGARS,B ,Q,3.76,3.87,3.74,3.87,3.87,3.95,40,11915,45171.00,
500133,ESAB INDIA  ,B ,Q,709.00,713.95,680.05,683.45,683.45,707.00,224,555,386554.00,
500134,ESSAR OIL   ,A ,Q,108.30,109.00,106.00,106.75,106.75,107.45,990,45200,4861503.00,
500135,ESSEL PROP  ,B ,Q,131.90,135.50,128.50,133.65,133.65,131.95,3878,74827,10002949.00,
