SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1151.90,1231.00,1151.90,1197.90,1197.90,1163.55,3571,18306,22097280.00,
500003,AEGIS LOGIS ,B ,Q,441.90,444.00,432.50,434.95,434.95,440.70,473,2513,1103643.00,
500008,AMAR RAJA BA,A ,Q,800.00,802.60,783.00,794.80,794.80,796.70,1367,14433,11436443.00,
500009,A.SARABHAI  ,B ,Q,3.90,4.70,3.90,4.56,4.32,4.29,36,2227,9979.00,
500010,HDFC        ,A ,Q,1130.00,1134.00,1095.60,1101.10,1101.10,1124.35,5160,66682,73955122.00,
500012,ANDHRA PETRO,B ,Q,12.30,12.45,11.80,12.19,12.19,12.56,506,95202,1146605.00,
500013,ANSAL INFRAS,B ,Q,24.25,24.70,24.00,24.20,24.20,24.50,165,14873,363680.00,
500014,APPLE FINANC,B ,Q,2.61,2.90,2.61,2.88,2.88,2.76,39,3525,10032.00,
500020,BOM DYEING  ,B ,Q,65.50,66.20,64.80,65.05,65.05,65.40,2669,222599,14549179.00,
500023,ASIANHOTNR  ,B ,Q,116.00,120.00,115.00,118.05,120.00,116.75,18,227,26277.00,
500024,ASSAMCO     ,B ,Q,4.06,4.20,4.05,4.08,4.08,4.01,343,145607,596462.00,
500027,ATUL LTD.   ,A ,Q,1414.00,1422.00,1342.60,1360.20,1357.40,1387.15,1527,7544,10409292.00,
500028,ATV PROJECTS,T ,Q,2.88,3.09,2.86,2.87,2.86,3.00,35,5949,17082.00,
500030,AUTORID.FIN ,B ,Q,0.82,0.84,0.82,0.82,0.82,0.86,12,2530,2102.00,
500031,BAJAJ ELECT.,A ,Q,221.55,222.50,217.15,217.85,217.85,222.50,1355,34898,7673108.00,
500032,BAJAJHIND.LT,B ,Q,18.75,18.85,18.30,18.70,18.70,18.65,1551,442215,8219973.00,
500033,FORCE MOTR  ,B ,Q,1056.00,1108.00,1033.00,1071.50,1071.50,1055.05,8502,88322,94553648.00,
500034,BAJFINANCE  ,A ,Q,3470.00,3480.30,3406.05,3419.55,3456.40,3465.35,833,1091,3737859.00,
500038,BALRAM.CHINI,A ,Q,58.30,58.30,57.30,57.55,57.65,57.60,689,36217,2086039.00,
500039,BANCO PROD. ,B ,Q,160.20,163.50,156.55,160.80,162.50,159.20,935,15159,2417223.00,
500040,CENTURY TEXT,A ,Q,496.60,517.65,496.00,510.65,510.65,495.10,6342,140984,71603242.00,
500041,BANNARI AMAN,B ,Q,1120.00,1140.00,1111.00,1140.00,1140.00,1101.05,8,17,19190.00,
500042,BASF INDIA  ,B ,Q,1195.00,1214.85,1175.05,1199.95,1199.95,1191.65,1327,4117,4916799.00,
500043,BATA INDIA  ,A ,Q,1294.55,1295.00,1270.00,1273.40,1273.40,1296.65,1463,12221,15630451.00,
500048,BEML LTD    ,A ,Q,685.00,712.00,675.95,689.55,689.55,681.80,7165,89752,62606845.00,
500049,BHARAT ELECT,A ,Q,2732.00,2760.00,2694.00,2726.60,2726.60,2732.95,2381,10993,30006519.00,
500051,BHAG GAS    ,Z ,Q,0.88,0.88,0.88,0.88,0.88,0.84,6,5100,4488.00,
500055,BHUSH STEEL ,A ,Q,87.95,88.00,86.50,87.20,87.20,86.35,936,33868,2954720.00,
500057,ABCIL       ,B ,Q,213.10,213.10,200.65,202.25,203.05,206.20,446,5033,1027937.00,
500058,BIHAR SPONGE,T ,Q,3.00,3.21,2.98,3.17,3.21,3.13,39,4605,14275.00,
500059,BINANI IND. ,B ,Q,98.95,100.50,98.45,98.60,98.60,98.30,230,5556,552898.00,
500060,BIRLA ERIC. ,T ,Q,66.50,69.85,66.00,69.20,68.90,66.55,219,12078,829271.00,
500067,BLUE STAR   ,B ,Q,312.95,317.60,309.95,312.85,312.85,312.50,598,6054,1906575.00,
500068,DISA INDIA  ,B ,Q,3889.00,4125.00,3889.00,4125.00,4125.00,4184.00,12,16,63224.00,
500074,BPL LTD.    ,B ,Q,21.10,23.80,20.95,22.85,22.85,20.15,4827,463646,10580480.00,
500078,CAMPH.& ALL ,B ,Q,290.00,290.00,280.00,280.15,280.15,282.80,82,1986,561330.00,
500083,CENTURY EXT ,B ,Q,1.94,2.03,1.93,1.94,1.97,1.91,262,1649,3195.00,
500084,CESC LTD.   ,A ,Q,648.00,653.00,641.00,649.05,649.05,643.10,1757,28297,18330712.00,
