SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1230.60,1311.00,1209.35,1235.55,1235.00,1228.45,6986,37735,47202835.00,
500003,AEGIS LOGIS ,B ,Q,429.80,445.00,428.90,442.85,442.85,427.55,638,5958,2606079.00,
500008,AMAR RAJA BA,A ,Q,725.00,726.90,715.80,722.90,722.90,725.90,740,9537,6892458.00,
500009,A.SARABHAI  ,B ,Q,4.60,5.21,4.60,5.21,5.21,5.05,67,15302,74348.00,
500010,HDFC        ,A ,Q,1099.00,1111.55,1086.70,1100.05,1100.05,1103.60,4243,56710,62440133.00,
500012,ANDHRA PETRO,B ,Q,9.91,11.15,9.91,10.96,10.96,10.17,443,107936,1163816.00,
500013,ANSAL INFRAS,B ,Q,29.50,30.05,29.50,29.70,30.00,29.40,206,13336,396357.00,
500014,APPLE FINANC,B ,Q,3.14,3.14,2.85,2.89,2.95,3.00,21,2886,8368.00,
500020,BOM DYEING  ,B ,Q,69.55,71.55,69.50,70.50,70.50,69.70,4071,269177,18992628.00,
500023,ASIANHOTNR  ,B ,Q,130.10,131.05,128.00,130.45,129.00,135.00,25,354,46170.00,
500024,ASSAMCO     ,B ,Q,4.38,4.49,4.33,4.40,4.40,4.30,485,169881,747053.00,
500027,ATUL LTD.   ,A ,Q,1249.30,1273.35,1213.40,1225.80,1228.00,1247.15,858,41837,52121016.00,
500028,ATV PROJECTS,T ,Q,3.41,3.74,3.41,3.41,3.74,3.58,25,12895,44070.00,
500029,AUTOLITE(I) ,B ,Q,36.00,36.80,35.75,36.45,36.30,36.00,60,3026,109568.00,
500030,AUTORID.FIN ,B ,Q,0.84,0.84,0.84,0.84,0.84,0.80,3,4000,3360.00,
500031,BAJAJ ELECT.,A ,Q,208.00,220.20,208.00,218.70,218.70,208.40,4346,138691,29827744.00,
500032,BAJAJHIND.LT,B ,Q,19.00,21.15,18.85,21.00,21.00,18.95,7030,1697683,34601331.00,
500033,FORCE MOTR  ,B ,Q,1237.90,1275.00,1235.00,1257.75,1257.75,1236.20,5186,63833,80164191.00,
500034,BAJFINANCE  ,A ,Q,3232.85,3250.00,3163.30,3183.30,3183.30,3251.45,535,1696,5430831.00,
500038,BALRAM.CHINI,A ,Q,56.50,59.45,56.15,58.65,58.65,55.85,3895,354595,20618803.00,
500039,BANCO PROD. ,B ,Q,157.25,163.00,155.10,160.75,161.60,159.50,699,11755,1894150.00,
500040,CENTURY TEXT,A ,Q,512.00,526.80,510.50,523.10,523.10,515.85,3103,181808,94927652.00,
500041,BANNARI AMAN,B ,Q,1199.00,1224.75,1199.00,1204.95,1202.00,1175.00,19,55,66877.00,
500042,BASF INDIA  ,B ,Q,1276.00,1323.95,1259.35,1298.80,1298.80,1273.05,943,4806,6255072.00,
500043,BATA INDIA  ,A ,Q,1276.45,1290.50,1270.00,1280.30,1280.50,1277.95,1132,11040,14125752.00,
