SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1182.00,1198.00,1148.50,1163.55,1158.10,1179.20,2104,14051,16483516.00,
500003,AEGIS LOGIS ,B ,Q,430.00,436.00,397.65,421.50,421.50,426.65,1606,13007,5447435.00,
500008,AMAR RAJA BA,A ,Q,740.00,740.10,712.00,718.80,718.80,740.50,1411,15896,11523791.00,
500009,A.SARABHAI  ,B ,Q,5.10,5.10,4.35,4.49,4.50,4.67,80,27238,124183.00,
500010,HDFC        ,A ,Q,1085.00,1106.10,1080.30,1088.15,1088.15,1088.15,5605,61924,67872973.00,
500012,ANDHRA PETRO,B ,Q,9.16,10.75,9.16,10.25,10.20,10.02,162,38356,398069.00,
500013,ANSAL INFRAS,B ,Q,26.00,26.40,24.50,25.35,25.35,26.25,432,53842,1371785.00,
500014,APPLE FINANC,B ,Q,2.41,2.57,2.27,2.41,2.41,2.57,65,16934,41420.00,
500020,BOM DYEING  ,B ,Q,64.20,65.30,62.50,64.00,64.00,64.40,4841,327174,20990623.00,
500023,ASIANHOTNR  ,B ,Q,118.00,118.00,112.10,115.10,118.00,117.40,12,1027,118260.00,
500024,ASSAMCO     ,B ,Q,4.10,4.10,3.88,3.95,3.95,3.97,445,304596,1200671.00,
500027,ATUL LTD.   ,A ,Q,1316.00,1319.15,1217.45,1227.95,1227.95,1303.40,1942,11409,14207567.00,
500028,ATV PROJECTS,T ,Q,2.86,3.13,2.85,3.13,3.13,2.99,13,747,2192.00,
500029,AUTOLITE(I) ,B ,Q,33.90,33.90,31.00,31.00,31.00,31.60,5,210,7090.00,
500030,AUTORID.FIN ,B ,Q,1.00,1.00,0.99,0.99,0.99,0.99,6,2000,1990.00,
500031,BAJAJ ELECT.,A ,Q,213.00,214.65,204.55,206.10,206.10,213.10,2503,86402,17991831.00,
500032,BAJAJHIND.LT,B ,Q,18.50,19.10,18.15,18.50,18.50,18.80,2852,524195,9761045.00,
500033,FORCE MOTR  ,B ,Q,1030.00,1043.00,955.25,1008.15,1008.15,1040.40,14197,185561,186151221.00,
500034,BAJFINANCE  ,A ,Q,3209.80,3217.70,3094.35,3190.65,3190.65,3156.40,871,3187,10061565.00,
500038,BALRAM.CHINI,A ,Q,56.00,57.00,54.10,56.30,56.30,55.70,2908,103622,5777349.00,
500039,BANCO PROD. ,B ,Q,153.00,158.00,146.25,153.55,153.55,153.65,1380,20873,3209835.00,
500040,CENTURY TEXT,A ,Q,488.00,495.30,458.40,484.35,484.35,490.55,6691,133387,63834985.00,
500041,BANNARI AMAN,B ,Q,1101.00,1180.00,1100.00,1180.00,1180.00,1099.35,14,166,191918.00,
500042,BASF INDIA  ,B ,Q,1180.00,1190.00,1139.60,1152.40,1148.00,1182.95,1420,10507,12238175.00,
500043,BATA INDIA  ,A ,Q,1260.00,1270.00,1244.90,1260.40,1262.50,1267.45,989,10241,12883395.00,
500048,BEML LTD    ,A ,Q,666.00,713.60,640.10,685.95,685.95,671.25,14409,177363,121512613.00,
500049,BHARAT ELECT,A ,Q,2675.00,2710.00,2608.40,2642.65,2642.65,2644.40,4779,40533,108256710.00,
500052,BHANSALI ENG,B ,Q,13.50,13.50,12.60,12.70,12.70,13.50,26,1314,17252.00,
500055,BHUSH STEEL ,A ,Q,90.00,90.00,84.75,86.75,86.75,89.20,2054,71441,6199796.00,
500057,ABCIL       ,B ,Q,207.05,212.50,200.00,208.15,208.15,209.65,520,9438,1938711.00,
500058,BIHAR SPONGE,T ,Q,2.85,3.09,2.85,2.99,2.99,2.99,28,2475,7213.00,
500059,BINANI IND. ,B ,Q,100.50,100.50,93.15,96.25,96.25,96.40,708,22626,2171867.00,
500060,BIRLA ERIC. ,T ,Q,61.20,63.00,59.00,62.15,61.65,61.20,96,7233,439120.00,
500067,BLUE STAR   ,B ,Q,303.00,303.50,290.00,301.15,303.50,305.70,457,4587,1363994.00,
500068,DISA INDIA  ,B ,Q,4090.00,4174.90,3999.95,4167.90,4174.90,3965.00,29,33,133869.00,
500069,BNK CAPITAL ,B ,Q,27.50,27.50,27.50,27.50,27.50,29.35,2,50,1375.00,
500074,BPL LTD.    ,B ,Q,19.90,20.30,18.80,19.55,19.75,19.90,507,42779,842918.00,
500078,CAMPH.& ALL ,B ,Q,277.05,290.00,277.05,284.30,285.00,284.25,96,2830,802578.00,
500083,CENTURY EXT ,B ,Q,2.34,2.34,1.90,1.98,2.00,1.97,415,17540,35041.00,
500084,CESC LTD.   ,A ,Q,626.00,634.95,603.05,609.95,609.90,627.90,3881,64025,39635679.00,
500085,CHAMBAL FERT,B ,Q,60.65,60.80,59.00,59.70,59.70,61.05,1362,72898,4366123.00,
500086,EXIDE IND.  ,A ,Q,167.25,169.50,158.60,161.20,161.20,166.85,4176,200898,32700753.00,
500087,CIPLA LTD.  ,A ,Q,620.00,620.00,598.25,605.25,605.25,623.45,7625,209387,127040197.00,
500089,DIC INDIA   ,B ,Q,371.00,377.95,355.05,363.00,363.00,378.45,103,430,156096.00,
500092,CRISIL LTD  ,A ,Q,1794.90,1849.00,1794.00,1812.00,1812.00,1813.00,826,1817,3295233.00,
500093,CROMPT.GREAV,A ,Q,167.00,172.80,166.10,170.75,170.75,168.65,11650,703344,119513161.00,
500096,DABUR (I)   ,A ,Q,223.00,225.65,217.60,219.25,219.25,223.50,2225,44708,9909489.00,
500097,DALMIASUG   ,B ,Q,23.50,23.50,21.85,22.25,22.90,23.70,99,5596,126408.00,
500101,ARVIND Ltd  ,A ,Q,252.90,254.85,242.50,246.20,246.20,252.25,9276,400083,99536154.00,
500102,BALARPUR IND,B ,Q,15.75,15.75,14.55,15.00,15.00,15.00,1785,321853,4832592.00,
500103,BHEL        ,A ,Q,247.50,249.80,240.55,245.25,245.25,247.30,10004,503185,123516997.00,
500104,HIND.PETRO  ,A ,Q,551.00,559.60,542.00,548.90,548.90,551.20,7957,153823,84562488.00,
500106,IFCI LTD    ,A ,Q,33.85,35.15,33.05,34.80,34.80,33.95,4907,952049,32582322.00,
500108,MAHA.TELE   ,B ,Q,25.00,26.00,24.10,25.25,25.25,25.15,2873,420342,10533375.00,
500109,MRPL        ,A ,Q,46.20,46.40,45.10,45.75,45.70,45.75,1298,75967,3480344.00,
500110,CHENNAI PET.,B ,Q,67.00,68.00,63.90,66.35,66.35,67.15,2419,114441,7559496.00,
500111,REL.CAP.    ,A ,Q,476.65,484.10,459.55,468.80,468.80,479.05,42537,1134899,536926555.00,
500112,STATE BANK  ,A ,Q,295.00,306.40,287.20,302.05,302.05,295.90,67674,3698431,1103020964.00,
500113,STEEL AUTH. ,A ,Q,77.50,79.00,75.15,75.85,75.85,77.25,4005,385671,29540613.00,
500114,TITAN       ,A ,Q,358.70,360.00,345.50,354.55,354.55,359.80,5121,104524,36908106.00,
500116,IDBI BANK L ,A ,Q,65.10,66.20,62.70,65.25,65.25,65.35,9340,765924,49613884.00,
500117,DCW LTD.    ,B ,Q,16.60,17.15,15.65,16.55,16.55,16.75,2094,327185,5348818.00,
500119,DHAMPUR SUGA,B ,Q,43.90,43.90,42.35,43.25,43.25,43.55,255,18595,799898.00,
500120,DIAMINES&CHM,B ,Q,32.00,33.00,32.00,33.00,33.00,32.00,8,180,5761.00,
500123,ELANTAS     ,B ,Q,956.05,990.00,925.00,959.65,959.65,974.10,454,5995,5733246.00,
500124,DR.REDDY'S  ,A ,Q,3117.00,3212.60,3060.00,3160.45,3160.45,3142.05,8396,48245,151455873.00,
500125,E.I.D.PAR   ,A ,Q,197.40,199.30,188.90,194.95,194.95,197.05,2183,98476,19089121.00,
500126,MERCK LTD   ,B ,Q,789.30,807.60,765.05,787.15,787.15,797.30,1278,8907,7018183.00,
500128,ELEC.CASTING,B ,Q,17.90,18.05,17.20,17.70,17.70,18.10,1052,156200,2763459.00,
500132,EMPEE SUGARS,B ,Q,4.00,4.00,3.82,4.00,4.00,4.03,10,1255,5002.00,
500133,ESAB INDIA  ,B ,Q,625.00,646.50,610.00,630.45,630.45,628.85,901,2051,1290848.00,
500134,ESSAR OIL   ,A ,Q,104.00,104.85,100.00,102.30,102.30,103.90,2172,196661,20129228.00,
500135,ESSEL PROP  ,B ,Q,118.55,120.60,112.55,116.70,116.70,118.50,1258,31343,3650575.00,
500136,ESTER INDUS.,B ,Q,18.60,19.00,18.60,18.90,19.00,19.05,44,6075,114940.00,
500139,FEDDER.LLYOD,B ,Q,63.30,64.35,61.05,63.30,63.30,62.40,370,18723,1165318.00,
500141,FERRO ALLOYS,B ,Q,5.93,6.34,5.85,6.12,6.15,6.21,55,11837,70569.00,
500142,FGP LTD.    ,B ,Q,2.35,2.35,2.35,2.35,2.35,2.47,2,515,1210.00,
500144,FINOL. CABLE,A ,Q,241.80,242.10,222.00,240.35,240.35,238.70,2799,75342,17527063.00,
500147,CMI FPE     ,B ,Q,442.00,459.00,420.00,421.00,420.00,456.00,75,1589,698870.00,
500148,UFLEX LTD   ,B ,Q,143.50,146.30,138.50,143.95,143.95,144.95,2777,99924,14317975.00,
500150,FOSECO INDIA,B ,Q,1202.05,1258.00,1160.00,1243.50,1243.50,1208.35,706,1877,2267613.00,
500151,GOLDEN TOB  ,B ,Q,36.55,38.85,36.00,36.65,37.15,36.00,181,6249,227596.00,
500153,GANESH BENZO,B ,Q,5.45,5.45,5.04,5.26,5.26,5.50,12,6375,34634.00,
500155,GARDEN SILK ,B ,Q,29.30,30.35,29.00,29.30,29.50,30.15,109,4976,147256.00,
500159,METROGLOBL  ,B ,Q,66.30,69.00,66.30,67.00,67.00,69.40,43,3054,206747.00,
500160,GTL LTD.    ,B ,Q,16.15,16.25,15.50,15.70,15.65,15.90,369,39494,626260.00,
500163,GODFREY PH  ,B ,Q,556.70,575.95,556.40,569.95,568.00,556.00,772,7142,4053800.00,
500164,GODREJ IND  ,A ,Q,265.50,280.60,264.25,274.30,274.30,265.25,2882,63005,17256844.00,
500165,KANSAI NERO ,B ,Q,1922.05,1923.95,1870.10,1921.10,1921.10,1926.50,431,1002,1914114.00,
500166,GOODRICKE   ,B ,Q,150.00,152.80,145.05,147.65,147.65,149.15,340,14975,2221297.00,
500168,GOODYEAR (I),B ,Q,618.05,627.60,585.85,595.95,595.95,623.00,1293,29477,17645962.00,
500170,GTN INDUS   ,B ,Q,11.43,12.60,11.42,12.60,12.60,11.55,6,1001,11437.00,
500171,GHCL LTD    ,B ,Q,72.90,74.50,68.40,72.25,71.00,74.70,2425,107513,7680631.00,
500173,GUJ.FLOURO  ,B ,Q,721.00,721.00,687.50,700.20,698.00,709.00,2539,10876,7644384.00,
500174,GUJ.LEASE   ,B ,Q,2.10,2.79,2.10,2.50,2.50,2.45,14,1750,4554.00,
500179,HCL INFOSYS ,B ,Q,44.00,48.30,40.50,47.45,47.45,44.25,13742,1240551,55971677.00,
500180,HDFC BANK   ,A ,Q,926.50,932.00,916.45,921.85,921.85,925.60,5255,136614,125885689.00,
500182,HEROMOTOCO  ,A ,Q,3128.00,3200.00,3046.15,3061.90,3051.00,3134.00,2770,15544,47928678.00,
500183,HIMACHAL FUT,B ,Q,17.00,17.85,16.40,17.15,17.15,17.00,11348,2384443,40986298.00,
500184,HIMADRI CHEM,B ,Q,23.95,24.45,22.15,24.05,23.95,23.90,193,10441,248710.00,
500185,HIND.CONSTN.,A ,Q,27.10,27.90,25.90,27.15,27.15,27.40,6017,1047912,28223628.00,
500186,HIND.OIL EXP,B ,Q,34.50,35.40,31.85,33.90,34.15,34.40,6054,482570,16199721.00,
500187,HSIL        ,B ,Q,358.00,364.00,330.00,350.65,350.65,355.30,1889,20782,7248850.00,
500188,HINDUS.ZI   ,A ,Q,158.05,163.20,153.25,161.10,161.10,158.05,4977,142288,22657837.00,
500189,HINDUJA VENT,B ,Q,309.00,309.15,300.00,302.40,302.00,309.45,579,8262,2508279.00,
500191,HMT LTD.    ,B ,Q,48.10,48.60,43.25,45.75,45.75,48.05,3696,199516,9060981.00,
500192,PRAG BOSIMI ,T ,Q,6.25,6.82,6.20,6.49,6.82,6.51,26,9127,57520.00,
500193,HOTEL LEELA.,B ,Q,19.65,20.80,19.65,20.25,20.35,20.30,874,76086,1541888.00,
500199,I.G.PETRO   ,B ,Q,53.05,54.00,51.30,53.10,53.10,53.20,69,2520,134076.00,
500201,IND.GLYCOLS ,B ,Q,99.30,101.40,96.45,97.45,97.00,100.05,710,24757,2434594.00,
500202,IND.LEAS.DEV,B ,Q,7.16,7.16,7.16,7.16,7.16,6.82,2,500,3580.00,
500206,MARGO FIN   ,T ,Q,5.49,5.49,5.20,5.20,5.20,5.23,10,833,4451.00,
500207,INDO RAMA   ,B ,Q,19.75,20.30,19.40,19.65,19.70,20.00,226,23862,468081.00,
500209,INFOSYS LTD ,A ,Q,1921.00,1956.00,1898.00,1940.45,1940.45,1937.65,12452,203846,393469524.00,
500210,INGERSOLL   ,B ,Q,822.65,823.40,790.00,803.80,803.80,821.70,2720,20673,16718851.00,
500211,INSILCO LTD.,T ,Q,23.00,23.30,21.20,23.20,23.20,22.20,174,45038,1028787.00,
500212,INTEG.FIN.SE,T ,Q,13.92,14.00,13.92,13.92,13.92,14.65,7,566,7886.00,
500213,INTER.TRAVEL,B ,Q,274.70,276.00,265.00,265.75,265.75,272.10,388,11409,3043171.00,
500214,ION EXCHANGE,T ,Q,245.00,245.00,227.75,232.45,232.05,239.70,330,26293,6180129.00,
500215,AGRO TECH FO,B ,Q,567.35,595.60,560.10,590.05,590.05,567.55,271,2222,1298397.00,
