SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1155.00,1172.00,1147.00,1163.55,1163.55,1166.55,1191,5872,6832914.00,
500003,AEGIS LOGIS ,B ,Q,437.50,455.80,437.50,440.70,442.85,434.30,1737,22740,10149615.00,
500008,AMAR RAJA BA,A ,Q,820.00,822.50,793.70,796.70,796.70,816.50,3195,23302,18735037.00,
500009,A.SARABHAI  ,B ,Q,4.45,4.86,4.23,4.29,4.27,4.50,70,10131,44930.00,
500010,HDFC        ,A ,Q,1150.00,1165.75,1122.00,1124.35,1124.35,1146.30,10862,89468,102780658.00,
500012,ANDHRA PETRO,B ,Q,13.10,14.00,12.28,12.56,12.50,12.52,1211,371092,4807969.00,
500013,ANSAL INFRAS,B ,Q,24.65,24.75,24.20,24.50,24.50,24.55,234,18307,448074.00,
500014,APPLE FINANC,B ,Q,2.82,2.91,2.76,2.76,2.76,2.94,44,13960,40220.00,
500020,BOM DYEING  ,B ,Q,65.35,66.70,64.45,65.40,65.40,65.70,3071,290406,19016388.00,
500023,ASIANHOTNR  ,B ,Q,118.15,123.95,116.40,116.75,122.00,126.95,66,2733,325087.00,
500024,ASSAMCO     ,B ,Q,4.15,4.15,4.00,4.01,4.01,4.11,228,140542,569755.00,
500027,ATUL LTD.   ,A ,Q,1350.30,1401.30,1343.55,1387.15,1387.15,1335.05,2631,17881,24742968.00,
500028,ATV PROJECTS,T ,Q,2.95,3.00,2.95,3.00,3.00,3.09,22,1403,4141.00,
500029,AUTOLITE(I) ,B ,Q,32.00,34.90,32.00,33.80,33.80,34.45,21,340,11116.00,
500030,AUTORID.FIN ,B ,Q,0.86,0.86,0.86,0.86,0.86,0.90,11,1754,1508.00,
500031,BAJAJ ELECT.,A ,Q,228.80,229.85,220.50,222.50,222.50,228.70,1850,40119,8989173.00,
500032,BAJAJHIND.LT,B ,Q,19.00,19.15,18.55,18.65,18.65,18.60,1690,398236,7505143.00,
500033,FORCE MOTR  ,B ,Q,1080.25,1087.95,1050.00,1055.05,1055.05,1079.10,3913,41610,44416716.00,
500034,BAJFINANCE  ,A ,Q,3320.00,3500.00,3314.70,3465.35,3465.35,3332.45,966,16273,55596809.00,
500038,BALRAM.CHINI,A ,Q,58.00,58.40,57.30,57.60,57.60,57.80,763,48080,2774732.00,
500039,BANCO PROD. ,B ,Q,163.50,163.50,159.05,159.20,159.30,161.05,105,2669,430222.00,
500040,CENTURY TEXT,A ,Q,505.10,515.25,490.00,495.10,495.10,509.15,4002,86933,43463080.00,
500041,BANNARI AMAN,B ,Q,1147.00,1149.00,1101.05,1101.05,1101.05,1101.00,28,55,61788.00,
500042,BASF INDIA  ,B ,Q,1181.80,1196.00,1168.00,1191.65,1189.05,1169.40,856,8760,10332956.00,
500043,BATA INDIA  ,A ,Q,1282.10,1311.50,1280.00,1296.65,1296.65,1282.45,2293,12070,15700894.00,
500048,BEML LTD    ,A ,Q,696.00,700.00,675.00,681.80,681.80,692.85,3544,40026,27510431.00,
500049,BHARAT ELECT,A ,Q,2725.00,2777.35,2711.80,2732.95,2732.95,2766.80,2019,18613,51137943.00,
500052,BHANSALI ENG,B ,Q,13.26,13.26,13.25,13.26,13.25,13.44,4,72,954.00,
500055,BHUSH STEEL ,A ,Q,87.30,88.50,86.00,86.35,86.35,89.25,2632,78548,6819278.00,
500057,ABCIL       ,B ,Q,210.00,211.00,200.00,206.20,205.15,209.10,347,6536,1353052.00,
500058,BIHAR SPONGE,T ,Q,2.92,3.15,2.92,3.13,3.15,3.00,29,8527,26138.00,
500059,BINANI IND. ,B ,Q,101.05,102.30,98.00,98.30,98.30,100.40,479,23861,2384997.00,
500060,BIRLA ERIC. ,T ,Q,67.90,67.95,65.25,66.55,66.20,66.85,98,6739,450941.00,
500067,BLUE STAR   ,B ,Q,325.00,328.50,309.00,312.50,312.50,318.90,643,5117,1636631.00,
500068,DISA INDIA  ,B ,Q,4155.00,4184.00,4155.00,4184.00,4184.00,4154.00,8,16,66617.00,
500074,BPL LTD.    ,B ,Q,20.75,20.95,20.00,20.15,20.25,20.75,192,15807,322055.00,
500078,CAMPH.& ALL ,B ,Q,277.05,290.00,277.05,282.80,282.00,288.45,76,1353,382701.00,
500083,CENTURY EXT ,B ,Q,2.30,2.30,1.90,1.91,1.91,1.93,377,10996,21295.00,
500084,CESC LTD.   ,A ,Q,654.95,654.95,637.05,643.10,643.10,640.15,3189,30431,19692494.00,
500085,CHAMBAL FERT,B ,Q,61.05,61.60,59.95,60.10,60.10,60.85,659,30616,1854558.00,
500086,EXIDE IND.  ,A ,Q,172.20,172.50,166.55,168.80,168.80,172.20,2440,110570,18721737.00,
500087,CIPLA LTD.  ,A ,Q,620.55,634.30,612.60,629.65,629.65,618.40,7329,159987,99773555.00,
500089,DIC INDIA   ,B ,Q,379.20,379.20,368.00,368.15,368.15,375.55,44,1543,570010.00,
500092,CRISIL LTD  ,A ,Q,1898.60,1960.00,1892.90,1950.75,1959.80,1885.80,1009,3174,6146582.00,
500093,CROMPT.GREAV,A ,Q,184.00,184.75,177.40,178.70,178.70,183.10,9466,482092,86898283.00,
500096,DABUR (I)   ,A ,Q,228.60,236.70,228.60,232.40,232.35,230.85,2418,67473,15762723.00,
500097,DALMIASUG   ,B ,Q,21.70,22.50,21.55,22.15,22.15,21.95,82,2385,52145.00,
500101,ARVIND Ltd  ,A ,Q,272.95,274.35,265.00,266.50,266.50,271.90,6540,268596,72400654.00,
500102,BALARPUR IND,B ,Q,15.85,16.10,15.50,15.65,15.65,15.65,881,237275,3740484.00,
500103,BHEL        ,A ,Q,266.00,269.60,260.75,261.80,261.80,265.75,8404,328953,87046443.00,
500104,HIND.PETRO  ,A ,Q,575.00,578.50,564.65,566.15,566.15,572.00,2593,49856,28452227.00,
500106,IFCI LTD    ,A ,Q,36.50,36.50,34.95,35.40,35.40,36.25,2526,461934,16401842.00,
500108,MAHA.TELE   ,B ,Q,25.75,26.30,25.35,25.40,25.40,25.85,1041,156177,4018392.00,
500109,MRPL        ,A ,Q,47.50,48.15,47.25,47.55,47.50,47.95,536,30337,1446243.00,
500110,CHENNAI PET.,B ,Q,72.75,73.20,70.25,70.85,70.85,72.85,1343,62780,4485128.00,
500111,REL.CAP.    ,A ,Q,497.10,498.60,476.30,479.50,479.50,495.20,26100,730420,354218886.00,
500112,STATE BANK  ,A ,Q,307.80,312.35,306.15,307.05,307.05,307.65,27920,1789300,553204940.00,
500113,STEEL AUTH. ,A ,Q,81.50,83.00,81.05,82.15,82.15,82.35,3727,350205,28759504.00,
500114,TITAN       ,A ,Q,384.00,384.00,373.65,374.60,374.60,381.05,2928,57405,21664163.00,
500116,IDBI BANK L ,A ,Q,69.20,70.25,68.05,68.30,68.30,69.40,3569,310260,21379735.00,
500117,DCW LTD.    ,B ,Q,17.70,17.90,16.10,16.65,16.55,17.60,1614,207285,3510722.00,
500119,DHAMPUR SUGA,B ,Q,42.80,43.25,41.85,42.15,42.15,42.15,195,8479,359117.00,
500120,DIAMINES&CHM,B ,Q,33.50,33.50,32.00,32.50,32.50,34.00,34,1332,43591.00,
500123,ELANTAS     ,B ,Q,990.00,998.00,985.00,990.15,991.00,983.05,167,1644,1625224.00,
500124,DR.REDDY'S  ,A ,Q,3235.00,3235.95,3194.70,3205.25,3205.25,3246.40,4093,21770,70043639.00,
500125,E.I.D.PAR   ,A ,Q,200.05,202.70,196.10,198.40,198.40,199.05,372,8886,1766215.00,
500126,MERCK LTD   ,B ,Q,809.00,816.50,791.00,797.50,797.00,808.85,553,3478,2788386.00,
500128,ELEC.CASTING,B ,Q,17.10,18.70,17.10,17.70,17.70,16.60,2398,347386,6233934.00,
500132,EMPEE SUGARS,B ,Q,3.90,4.00,3.90,4.00,4.00,3.87,6,2500,9800.00,
500133,ESAB INDIA  ,B ,Q,670.00,670.00,625.35,631.10,631.10,650.15,84,395,251408.00,
500134,ESSAR OIL   ,A ,Q,110.30,111.45,108.25,108.80,108.80,111.00,1163,46864,5134307.00,
500135,ESSEL PROP  ,B ,Q,129.50,133.75,127.00,130.30,130.30,129.85,1409,51446,6717674.00,
500136,ESTER INDUS.,B ,Q,19.40,19.40,18.90,18.90,18.90,18.95,47,6930,133001.00,
500139,FEDDER.LLYOD,B ,Q,69.40,70.00,67.35,67.60,67.60,69.45,267,13577,940652.00,
500141,FERRO ALLOYS,B ,Q,6.50,6.54,6.37,6.42,6.42,6.93,57,9018,58511.00,
500142,FGP LTD.    ,B ,Q,2.36,2.45,2.36,2.45,2.45,2.36,6,2047,4835.00,
500144,FINOL. CABLE,A ,Q,266.00,266.00,256.00,259.00,257.10,259.55,2036,71245,18670474.00,
500147,CMI FPE     ,B ,Q,493.00,493.00,475.00,477.20,477.10,483.95,41,736,356735.00,
500148,UFLEX LTD   ,B ,Q,153.90,155.35,151.15,151.80,151.80,153.35,991,40159,6154715.00,
500150,FOSECO INDIA,B ,Q,1240.00,1260.05,1224.00,1247.55,1247.55,1224.90,108,570,711997.00,
500151,GOLDEN TOB  ,B ,Q,44.50,45.25,39.10,40.55,40.55,44.45,1496,62965,2641739.00,
500153,GANESH BENZO,B ,Q,6.10,6.10,5.65,5.65,5.65,6.05,25,5400,31934.00,
500155,GARDEN SILK ,B ,Q,31.85,31.90,30.40,30.55,30.55,31.45,100,3967,122786.00,
500159,METROGLOBL  ,B ,Q,69.50,72.05,67.30,69.60,71.95,71.00,48,4557,320973.00,
500160,GTL LTD.    ,B ,Q,17.25,17.25,15.90,16.10,16.10,16.65,477,43348,706256.00,
500162,PARRYSUGR   ,B ,Q,20.00,20.00,20.00,20.00,20.00,21.00,2,100,2000.00,
500163,GODFREY PH  ,B ,Q,593.00,593.00,580.80,582.10,588.25,592.30,469,3536,2068721.00,
500164,GODREJ IND  ,A ,Q,287.00,290.70,283.35,289.15,289.00,284.70,2067,32854,9441681.00,
500165,KANSAI NERO ,B ,Q,1940.10,1990.00,1940.10,1977.00,1981.50,1962.05,493,1674,3300420.00,
500166,GOODRICKE   ,B ,Q,158.80,159.95,157.10,157.90,157.90,158.80,155,3791,599771.00,
500168,GOODYEAR (I),B ,Q,615.00,622.35,601.50,610.20,610.20,620.25,1070,21462,13142707.00,
500170,GTN INDUS   ,B ,Q,12.50,12.50,11.85,12.00,12.00,12.80,16,567,6820.00,
500171,GHCL LTD    ,B ,Q,73.45,73.45,70.65,71.00,71.00,72.85,560,23876,1715686.00,
500173,GUJ.FLOURO  ,B ,Q,730.65,734.50,701.05,707.10,709.90,729.85,1185,6023,4335097.00,
500174,GUJ.LEASE   ,B ,Q,2.35,2.36,2.35,2.36,2.36,2.40,4,400,942.00,
500179,HCL INFOSYS ,B ,Q,44.75,45.40,43.60,43.80,43.80,44.45,4535,480750,21293939.00,
500180,HDFC BANK   ,A ,Q,964.95,973.85,955.60,959.50,959.50,963.25,5943,159052,153332255.00,
500182,HEROMOTOCO  ,A ,Q,3115.00,3155.50,3103.70,3140.10,3140.10,3115.60,1655,7689,24131483.00,
500183,HIMACHAL FUT,B ,Q,18.00,18.00,16.85,16.95,16.95,17.75,2553,1179986,20369942.00,
500184,HIMADRI CHEM,B ,Q,24.00,24.55,23.95,24.10,24.10,24.15,62,7730,187289.00,
500185,HIND.CONSTN.,A ,Q,29.70,29.95,28.65,28.80,28.80,29.70,2216,447459,13039052.00,
500186,HIND.OIL EXP,B ,Q,33.00,33.55,32.45,32.75,32.75,32.85,2181,231398,7613540.00,
500187,HSIL        ,B ,Q,370.30,373.60,365.50,369.75,369.75,368.90,762,9573,3546762.00,
500188,HINDUS.ZI   ,A ,Q,164.25,165.55,159.50,160.35,160.35,164.25,2714,62385,10086357.00,
500189,HINDUJA VENT,B ,Q,325.00,325.00,320.00,320.05,320.00,322.45,162,1597,512068.00,
500191,HMT LTD.    ,B ,Q,46.00,48.45,45.45,46.60,46.60,45.50,3542,224632,10573526.00,
500192,PRAG BOSIMI ,T ,Q,5.91,6.00,5.90,5.92,5.92,6.20,34,8396,49672.00,
500193,HOTEL LEELA.,B ,Q,21.05,21.15,20.55,20.65,20.65,20.85,526,48639,1015321.00,
500199,I.G.PETRO   ,B ,Q,57.00,59.95,56.45,57.85,57.85,56.60,376,11624,672348.00,
500201,IND.GLYCOLS ,B ,Q,102.65,103.00,100.00,100.10,100.10,101.35,629,21499,2181431.00,
500202,IND.LEAS.DEV,B ,Q,6.81,6.81,6.81,6.81,6.81,7.16,2,1,6.00,
500207,INDO RAMA   ,B ,Q,23.65,23.65,20.80,20.95,21.00,21.10,119,12489,261704.00,
500209,INFOSYS LTD ,A ,Q,2000.00,2021.00,1964.30,1971.10,1971.10,1997.00,7938,68336,136117522.00,
500210,INGERSOLL   ,B ,Q,839.00,873.45,831.60,858.85,858.85,832.70,2802,24390,20715974.00,
500211,INSILCO LTD.,T ,Q,22.50,23.35,22.10,22.55,22.55,22.60,150,33801,763042.00,
500213,INTER.TRAVEL,B ,Q,281.00,281.00,269.15,274.30,276.50,277.95,304,5773,1581879.00,
500214,ION EXCHANGE,T ,Q,259.15,261.35,249.50,252.90,253.00,259.90,133,6482,1650788.00,
500215,AGRO TECH FO,B ,Q,591.05,600.55,585.00,590.00,590.00,590.80,205,1403,833526.00,
500219,JAIN IRRIG  ,A ,Q,69.15,69.20,65.50,65.90,65.90,69.05,7759,500172,33476109.00,
500220,JASCH INDUST,B ,Q,19.30,19.30,17.10,17.15,17.15,18.75,20,627,10777.00,
500222,JCT ELECTRON,B ,Q,0.72,0.72,0.55,0.67,0.67,0.62,453,26507,17064.00,
500223,JCT LTD     ,B ,Q,3.40,3.70,3.40,3.62,3.62,3.41,270,215587,768788.00,
500227,JINDAL POLYF,B ,Q,288.00,289.25,275.00,277.95,277.95,287.70,1809,36128,10156856.00,
500228,JSWSL       ,A ,Q,1080.00,1081.00,1035.05,1042.20,1042.20,1071.10,5095,51742,54408933.00,
500231,UMANG DAIR  ,B ,Q,50.00,50.00,48.70,49.25,48.75,50.00,73,2842,140742.00,
500233,KAJARIA CER.,A ,Q,560.35,567.00,548.00,561.65,558.25,557.00,499,4091,2276476.00,
500234,KAKATIYA CEM,B ,Q,108.30,108.80,107.00,108.10,107.00,108.50,26,1604,173521.00,
500235,KALYANI STEL,B ,Q,149.70,164.95,147.10,162.25,162.25,147.15,12320,439821,70238152.00,
500236,KANELIND    ,B ,Q,5.28,5.28,4.78,4.78,4.78,5.03,10,651,3221.00,
500238,WHIRLPOOL   ,B ,Q,632.70,636.10,620.00,624.35,624.00,627.10,727,22032,13884494.00,
500239,KG DENIM    ,B ,Q,14.75,15.25,14.60,14.65,14.60,14.85,45,10135,149507.00,
500240,KINETIC ENG.,B ,Q,49.05,50.20,48.55,49.00,49.00,49.45,45,2193,107383.00,
500241,KIRL.BROS.  ,B ,Q,226.50,232.00,222.00,229.70,229.20,226.20,513,4126,937438.00,
500243,KIRL INDUS  ,B ,Q,575.00,577.95,566.00,568.00,568.00,567.30,38,109,62431.00,
500245,KIRL.FERROUS,B ,Q,66.50,67.45,64.90,65.80,65.80,67.10,824,88804,5844485.00,
500247,KOTAK MAH.BK,A ,Q,1261.00,1271.00,1238.45,1246.10,1246.10,1257.45,3656,43900,55021154.00,
500249,KSB PUMPS   ,B ,Q,589.90,597.30,585.05,590.05,590.05,580.15,557,5710,3372017.00,
500250,L.G.BALKRISH,B ,Q,621.00,633.00,620.00,624.00,622.25,623.45,267,2149,1350548.00,
500251,TRENT LTD.  ,A ,Q,1400.75,1412.00,1385.00,1396.90,1396.90,1395.95,393,1264,1767740.00,
500252,LAKSHMI MACH,A ,Q,3895.50,3895.50,3712.05,3748.25,3748.25,3833.85,486,1406,5339371.00,
500253,LIC HOUS.FIN,A ,Q,419.45,426.30,411.65,413.75,413.75,419.75,7057,231158,96548118.00,
500254,UTTAMVALUE  ,B ,Q,6.06,6.15,5.90,5.94,5.95,6.09,112,60085,361029.00,
500255,LML LTD.    ,B ,Q,9.15,9.30,8.55,8.62,8.55,9.12,505,81834,725597.00,
500256,LOK.HOUS&CON,T ,Q,11.70,11.70,11.10,11.24,11.10,11.50,82,18180,207894.00,
500257,LUPIN LTD.  ,A ,Q,1450.00,1461.00,1432.45,1439.50,1434.00,1440.85,3012,27551,39837135.00,
500259,LYKA LABS   ,B ,Q,25.60,25.90,25.40,25.50,25.75,25.85,62,6515,166735.00,
500260,RAMCOCEM    ,A ,Q,323.10,325.10,313.05,315.40,313.05,320.75,513,4054,1293187.00,
500264,MAFATLAL IND,B ,Q,145.00,147.80,142.65,145.50,147.00,142.60,34,274,39969.00,
500265,MAH.SEAMLESS,B ,Q,251.50,260.00,244.05,247.95,251.00,254.00,914,9655,2421113.00,
500266,MAH.SCOOTER ,B ,Q,1030.00,1048.00,993.60,1004.20,1016.00,1012.50,84,352,356383.00,
500267,MAJESTIC AUT,B ,Q,79.00,79.00,71.30,73.60,73.60,77.35,149,5593,420563.00,
500268,MANALI PETRO,B ,Q,14.85,15.25,14.25,14.55,14.35,14.85,494,96303,1416979.00,
500271,MAX INDIA   ,A ,Q,376.00,387.55,370.00,380.00,380.00,379.35,4876,93408,35311652.00,
500279,MIRC ELECT  ,B ,Q,9.50,9.50,8.22,8.63,8.63,9.05,677,105811,914367.00,
500280,CENTURY ENKA,B ,Q,165.00,171.00,163.55,166.00,166.00,164.70,671,18354,3071363.00,
500284,LORDS CHLORO,T ,Q,14.25,15.54,14.25,15.54,15.54,14.80,12,366,5321.00,
500285,SPICEJET LTD,B ,Q,18.90,19.50,16.55,16.75,16.75,18.50,48876,30333195,546247954.00,
