SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1209.40,1229.90,1207.70,1223.05,1223.05,1201.60,1140,7316,8928552.00,
500003,AEGIS LOGIS ,B ,Q,434.80,445.00,433.50,436.80,436.80,429.20,807,6229,2737689.00,
500008,AMAR RAJA BA,A ,Q,829.90,833.00,801.35,804.60,804.60,819.85,3138,41535,34114408.00,
500009,A.SARABHAI  ,B ,Q,4.24,4.86,4.24,4.77,4.77,4.46,37,6180,27644.00,
500010,HDFC        ,A ,Q,1114.10,1129.60,1114.10,1123.70,1123.70,1114.05,2498,36844,41393260.00,
500012,ANDHRA PETRO,B ,Q,12.49,12.49,11.88,12.07,12.10,12.04,217,38035,462987.00,
500013,ANSAL INFRAS,B ,Q,24.40,24.75,23.90,24.00,23.90,23.95,474,53717,1303950.00,
500014,APPLE FINANC,B ,Q,2.63,2.77,2.60,2.74,2.74,2.71,74,15601,41328.00,
500020,BOM DYEING  ,B ,Q,65.40,66.65,65.35,65.65,65.65,65.20,2721,180110,11864437.00,
500023,ASIANHOTNR  ,B ,Q,117.00,119.75,117.00,119.75,119.75,116.25,6,424,49619.00,
500024,ASSAMCO     ,B ,Q,4.75,4.88,4.60,4.88,4.88,4.07,908,1083793,5265940.00,
500027,ATUL LTD.   ,A ,Q,1360.00,1360.15,1340.00,1348.20,1352.00,1350.20,585,2664,3592749.00,
500028,ATV PROJECTS,T ,Q,2.86,3.00,2.86,2.89,2.88,2.97,41,8186,24135.00,
500029,AUTOLITE(I) ,B ,Q,34.00,34.00,33.50,34.00,34.00,34.25,10,1150,38950.00,
500030,AUTORID.FIN ,B ,Q,0.77,0.84,0.77,0.78,0.78,0.80,10,3021,2399.00,
500031,BAJAJ ELECT.,A ,Q,220.40,224.00,218.10,218.75,218.60,219.85,1041,26119,5774870.00,
500032,BAJAJHIND.LT,B ,Q,18.80,19.20,18.70,18.80,18.80,18.70,1619,414181,7834912.00,
500033,FORCE MOTR  ,B ,Q,1062.10,1100.00,1060.00,1073.40,1073.40,1057.45,6014,65484,70855782.00,
500034,BAJFINANCE  ,A ,Q,3475.00,3519.30,3448.05,3475.20,3487.00,3460.95,374,924,3213660.00,
500038,BALRAM.CHINI,A ,Q,58.90,59.25,57.80,57.95,57.85,58.25,1106,63028,3691443.00,
500039,BANCO PROD. ,B ,Q,162.00,163.00,160.50,161.55,161.60,161.05,280,5166,835100.00,
500040,CENTURY TEXT,A ,Q,516.00,526.80,515.00,518.95,518.95,513.55,2705,62595,32644295.00,
500041,BANNARI AMAN,B ,Q,1154.90,1166.80,1152.00,1162.55,1166.00,1123.65,12,17,19733.00,
500042,BASF INDIA  ,B ,Q,1193.40,1237.35,1188.95,1211.20,1211.20,1199.60,938,4394,5350908.00,
500043,BATA INDIA  ,A ,Q,1285.00,1310.00,1284.60,1306.20,1309.00,1279.45,1696,11842,15402182.00,
500046,BEST&CROMPT.,Z ,Q,3.99,3.99,3.99,3.99,3.99,3.80,4,200,798.00,
500048,BEML LTD    ,A ,Q,699.95,709.75,695.20,700.30,700.30,696.65,2871,37074,26042133.00,
500049,BHARAT ELECT,A ,Q,2725.00,2788.60,2725.00,2729.00,2729.00,2721.30,2231,11950,32834918.00,
500052,BHANSALI ENG,B ,Q,13.10,13.95,13.10,13.95,13.95,13.50,6,32,420.00,
500055,BHUSH STEEL ,A ,Q,89.45,89.45,87.20,88.10,88.10,88.05,848,25894,2291833.00,
500057,ABCIL       ,B ,Q,200.05,223.95,200.05,216.20,216.20,214.25,393,4244,926521.00,
500058,BIHAR SPONGE,T ,Q,3.02,3.28,3.02,3.23,3.28,3.14,18,5010,16041.00,
500059,BINANI IND. ,B ,Q,99.25,102.00,98.70,100.25,100.25,99.05,550,16315,1637271.00,
500060,BIRLA ERIC. ,T ,Q,69.00,69.15,66.50,66.90,66.90,68.00,97,14249,970178.00,
500067,BLUE STAR   ,B ,Q,312.95,313.00,310.00,310.05,310.05,311.45,407,363603,112733313.00,
500068,DISA INDIA  ,B ,Q,4100.00,4100.00,4100.00,4100.00,4100.00,4150.00,2,5,20500.00,
500069,BNK CAPITAL ,B ,Q,45.90,46.60,43.80,46.60,46.60,38.85,309,58620,2715395.00,
500074,BPL LTD.    ,B ,Q,24.45,28.50,23.50,28.50,28.50,23.75,6359,841982,22923152.00,
500078,CAMPH.& ALL ,B ,Q,280.20,288.95,280.00,281.70,281.50,285.40,167,4308,1216672.00,
500083,CENTURY EXT ,B ,Q,2.18,2.18,1.89,1.89,1.90,1.95,292,12242,23395.00,
500084,CESC LTD.   ,A ,Q,650.95,667.50,650.95,665.75,665.75,650.45,2994,23238,15412409.00,
500085,CHAMBAL FERT,B ,Q,60.05,61.05,59.50,59.90,59.90,59.95,933,42893,2582823.00,
500086,EXIDE IND.  ,A ,Q,177.60,180.55,175.60,176.45,176.45,176.30,6296,281848,50241945.00,
500087,CIPLA LTD.  ,A ,Q,625.00,632.00,619.60,622.75,622.75,622.65,3230,73491,45921368.00,
500089,DIC INDIA   ,B ,Q,375.00,380.25,364.90,373.55,366.00,369.25,256,4245,1581692.00,
500092,CRISIL LTD  ,A ,Q,1949.90,1989.75,1915.05,1930.45,1940.00,1943.70,518,1222,2393544.00,
500093,CROMPT.GREAV,A ,Q,180.60,184.35,179.75,183.45,183.45,180.75,6767,312252,57130182.00,
500096,DABUR (I)   ,A ,Q,230.10,231.55,228.05,228.65,228.65,229.90,1075,35641,8190809.00,
500097,DALMIASUG   ,B ,Q,21.30,23.45,21.30,23.00,23.20,21.50,116,8685,197926.00,
500101,ARVIND Ltd  ,A ,Q,280.00,284.50,279.60,280.30,280.30,277.60,6265,218131,61419109.00,
500102,BALARPUR IND,B ,Q,15.55,15.80,15.40,15.40,15.40,15.45,824,217532,3377331.00,
500103,BHEL        ,A ,Q,253.00,256.65,253.00,254.50,254.50,251.75,4495,198303,50519519.00,
500104,HIND.PETRO  ,A ,Q,544.00,550.40,541.30,544.00,544.00,541.90,3951,109513,59849927.00,
500106,IFCI LTD    ,A ,Q,36.40,37.90,36.15,37.70,37.70,36.10,5917,1418394,52981221.00,
500108,MAHA.TELE   ,B ,Q,27.60,28.15,27.05,27.20,27.20,27.45,2445,386612,10652871.00,
500109,MRPL        ,A ,Q,47.00,47.90,47.00,47.15,47.10,47.05,1109,86479,4101584.00,
500110,CHENNAI PET.,B ,Q,69.75,72.55,69.75,70.80,70.80,69.75,1346,76177,5438682.00,
500111,REL.CAP.    ,A ,Q,502.40,507.50,495.10,496.40,496.40,498.85,21499,539233,270405871.00,
500112,STATE BANK  ,A ,Q,308.50,310.00,306.80,307.40,307.40,307.65,15775,1024539,315647207.00,
500113,STEEL AUTH. ,A ,Q,80.50,84.25,80.50,82.90,82.90,80.75,6713,579471,48199695.00,
500114,TITAN       ,A ,Q,368.20,375.50,367.75,373.75,373.75,367.45,2142,39558,14710524.00,
500116,IDBI BANK L ,A ,Q,71.60,72.30,70.90,71.05,71.05,71.40,3268,241239,17259160.00,
500117,DCW LTD.    ,B ,Q,17.20,17.40,17.00,17.10,17.10,16.95,712,108388,1860909.00,
500119,DHAMPUR SUGA,B ,Q,42.10,43.00,42.05,42.20,42.20,42.05,291,15835,674255.00,
500120,DIAMINES&CHM,B ,Q,31.10,31.90,31.10,31.75,31.75,31.10,24,1011,31841.00,
500123,ELANTAS     ,B ,Q,973.05,1001.00,970.00,997.35,1001.00,970.95,214,3028,2971241.00,
500124,DR.REDDY'S  ,A ,Q,3140.00,3160.25,3133.75,3140.45,3141.00,3129.85,1399,6304,19829513.00,
500125,E.I.D.PAR   ,A ,Q,198.25,199.90,197.00,198.50,198.50,196.45,495,9700,1923082.00,
500126,MERCK LTD   ,B ,Q,805.00,816.00,798.35,810.20,810.20,797.65,389,3201,2576951.00,
500128,ELEC.CASTING,B ,Q,17.40,18.45,17.40,17.95,17.95,17.85,913,124030,2244087.00,
500132,EMPEE SUGARS,B ,Q,3.86,4.00,3.65,3.67,3.65,3.79,32,4014,15260.00,
500133,ESAB INDIA  ,B ,Q,650.35,654.00,631.30,641.25,641.25,649.95,16,37,23944.00,
500134,ESSAR OIL   ,A ,Q,109.00,110.10,105.30,107.25,106.25,108.60,1596,84299,9135494.00,
500135,ESSEL PROP  ,B ,Q,135.65,138.90,129.45,130.45,130.45,134.90,3372,123020,16623669.00,
500136,ESTER INDUS.,B ,Q,19.00,19.25,19.00,19.05,19.00,19.00,22,871,16645.00,
500139,FEDDER.LLYOD,B ,Q,65.90,67.30,65.35,65.55,65.55,65.10,375,8628,572739.00,
500141,FERRO ALLOYS,B ,Q,6.56,7.10,6.55,6.91,6.91,6.80,73,34267,237037.00,
500144,FINOL. CABLE,A ,Q,258.85,261.00,256.85,258.05,258.05,256.55,806,19746,5099023.00,
500145,FIRST LEASIN,Z ,Q,4.21,4.23,4.21,4.21,4.21,4.43,39,4692,19753.00,
500147,CMI FPE     ,B ,Q,495.00,503.95,481.20,489.00,493.00,497.15,34,1385,679221.00,
500148,UFLEX LTD   ,B ,Q,151.10,153.90,151.10,152.55,152.30,150.60,634,23624,3610272.00,
500150,FOSECO INDIA,B ,Q,1229.45,1248.00,1217.00,1233.70,1230.00,1233.20,130,405,497364.00,
500151,GOLDEN TOB  ,B ,Q,52.40,61.00,51.50,58.80,58.80,50.85,6934,447138,26166364.00,
500153,GANESH BENZO,B ,Q,6.25,6.30,5.96,6.00,6.00,5.97,214,88472,532924.00,
500155,GARDEN SILK ,B ,Q,31.70,31.70,30.15,30.30,30.30,30.15,56,2132,64930.00,
500159,METROGLOBL  ,B ,Q,67.30,71.00,67.30,69.75,70.50,70.55,26,902,63678.00,
500160,GTL LTD.    ,B ,Q,16.95,17.10,16.20,16.40,16.40,16.45,662,81817,1359883.00,
500162,PARRYSUGR   ,B ,Q,20.05,22.95,20.05,22.60,22.60,21.65,12,38,855.00,
