SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1285.00,1329.80,1272.00,1299.85,1299.85,1286.20,2922,18165,23666546.00,
500003,AEGIS LOGIS ,B ,Q,452.65,458.00,444.20,446.20,445.00,449.85,1084,9001,4048827.00,
500008,AMAR RAJA BA,A ,Q,820.00,822.00,814.00,817.30,817.30,822.65,732,7768,6349214.00,
500009,A.SARABHAI  ,B ,Q,4.51,4.82,4.36,4.61,4.82,4.74,47,12991,59493.00,
500010,HDFC        ,A ,Q,1134.00,1134.00,1120.50,1123.45,1123.45,1135.00,2559,36260,40747221.00,
500012,ANDHRA PETRO,B ,Q,11.35,11.56,11.05,11.18,11.18,11.45,209,33426,375492.00,
500013,ANSAL INFRAS,B ,Q,23.05,24.90,23.05,24.55,24.55,23.75,387,42379,1034197.00,
500014,APPLE FINANC,B ,Q,3.01,3.01,2.56,2.81,2.80,2.64,42,5753,16135.00,
500020,BOM DYEING  ,B ,Q,66.60,67.65,66.60,67.15,67.15,66.95,2053,172127,11558224.00,
500023,ASIANHOTNR  ,B ,Q,128.00,130.05,126.00,128.15,128.15,125.05,32,382,49325.00,
500024,ASSAMCO     ,B ,Q,5.44,5.50,5.28,5.39,5.39,5.43,1165,575781,3107188.00,
500027,ATUL LTD.   ,A ,Q,1398.70,1398.70,1350.00,1370.25,1350.00,1385.80,558,2709,3736181.00,
500028,ATV PROJECTS,T ,Q,2.86,3.12,2.86,3.00,3.01,3.00,45,7091,20492.00,
500029,AUTOLITE(I) ,B ,Q,31.15,37.85,30.55,36.05,36.05,34.05,158,10433,373100.00,
500030,AUTORID.FIN ,B ,Q,0.74,0.77,0.73,0.77,0.77,0.76,26,7700,5741.00,
500031,BAJAJ ELECT.,A ,Q,220.65,234.85,220.05,232.55,232.55,220.70,4557,118632,27318353.00,
500032,BAJAJHIND.LT,B ,Q,19.00,19.40,18.85,19.05,19.05,18.85,1335,347092,6630227.00,
500033,FORCE MOTR  ,B ,Q,1075.00,1219.90,1070.00,1193.05,1193.05,1075.10,31922,435434,512451058.00,
500034,BAJFINANCE  ,A ,Q,3503.20,3532.65,3440.50,3484.65,3468.00,3481.45,978,2210,7745240.00,
500038,BALRAM.CHINI,A ,Q,60.00,60.75,59.20,59.95,59.95,59.55,680,36826,2210463.00,
500039,BANCO PROD. ,B ,Q,160.10,161.00,158.60,159.40,159.05,160.50,70,1361,217145.00,
500040,CENTURY TEXT,A ,Q,523.00,528.00,518.60,525.40,525.40,523.85,2202,40409,21198737.00,
500041,BANNARI AMAN,B ,Q,1163.00,1181.00,1162.00,1181.00,1181.00,1180.30,12,22,25729.00,
500042,BASF INDIA  ,B ,Q,1277.00,1300.00,1264.10,1292.05,1292.05,1286.05,509,2199,2824074.00,
500043,BATA INDIA  ,A ,Q,1315.00,1315.00,1290.60,1299.05,1299.05,1305.70,546,6024,7830503.00,
500048,BEML LTD    ,A ,Q,796.05,813.00,783.30,788.50,788.50,793.20,10556,140459,112189331.00,
500049,BHARAT ELECT,A ,Q,2916.00,3033.00,2899.00,2953.00,2953.00,2933.30,5243,27568,82206677.00,
500052,BHANSALI ENG,B ,Q,15.55,15.55,15.40,15.40,15.40,14.61,9,217,3356.00,
500055,BHUSH STEEL ,A ,Q,88.70,89.30,86.60,88.35,88.50,88.40,1063,32204,2852897.00,
500057,ABCIL       ,B ,Q,215.00,224.00,213.00,220.75,221.00,214.45,303,3169,695334.00,
500058,BIHAR SPONGE,T ,Q,3.08,3.30,3.08,3.13,3.13,3.23,31,2657,8282.00,
500059,BINANI IND. ,B ,Q,101.55,103.70,101.00,101.55,101.55,100.90,581,15895,1623789.00,
