SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1305.00,1305.00,1260.00,1269.00,1267.00,1304.80,2092,15691,20056721.00,
500003,AEGIS LOGIS ,B ,Q,468.05,468.05,445.00,448.60,450.75,465.30,631,6386,2900301.00,
500008,AMAR RAJA BA,A ,Q,743.50,749.85,728.00,734.65,734.65,741.95,1109,12733,9405808.00,
500009,A.SARABHAI  ,B ,Q,4.80,4.81,4.67,4.80,4.80,4.83,49,6883,32563.00,
500010,HDFC        ,A ,Q,1110.00,1129.00,1106.00,1108.65,1108.65,1114.40,2439,51630,57666560.00,
500012,ANDHRA PETRO,B ,Q,10.89,11.80,10.18,10.37,10.37,10.59,745,188648,2091512.00,
500013,ANSAL INFRAS,B ,Q,31.90,31.90,30.20,30.35,30.40,31.55,264,189291,5768954.00,
500014,APPLE FINANC,B ,Q,2.91,3.57,2.90,3.05,3.04,3.00,42,5700,17239.00,
500020,BOM DYEING  ,B ,Q,72.80,74.20,69.60,70.35,70.35,72.90,6614,525121,37557967.00,
500023,ASIANHOTNR  ,B ,Q,135.00,140.00,130.75,133.65,136.00,134.00,94,6111,837725.00,
500024,ASSAMCO     ,B ,Q,4.54,4.55,4.32,4.37,4.37,4.53,419,223012,988086.00,
500027,ATUL LTD.   ,A ,Q,1282.15,1299.00,1273.00,1278.45,1278.45,1282.15,1528,76741,98788549.00,
500028,ATV PROJECTS,T ,Q,3.75,3.77,3.47,3.60,3.54,3.63,55,12828,47169.00,
500029,AUTOLITE(I) ,B ,Q,37.80,37.80,35.10,36.20,36.20,35.80,73,1501,53390.00,
500030,AUTORID.FIN ,B ,Q,0.77,0.77,0.77,0.77,0.77,0.77,13,10350,7969.00,
500031,BAJAJ ELECT.,A ,Q,214.00,220.90,213.30,214.40,214.40,216.20,2733,69042,14978480.00,
500032,BAJAJHIND.LT,B ,Q,20.85,20.85,19.35,19.40,19.40,20.20,1371,356069,7051705.00,
500033,FORCE MOTR  ,B ,Q,1287.10,1296.00,1250.60,1258.40,1258.40,1282.05,5241,61795,78417883.00,
500034,BAJFINANCE  ,A ,Q,3193.00,3280.00,3185.75,3263.35,3263.35,3192.75,827,2675,8675223.00,
500038,BALRAM.CHINI,A ,Q,57.30,58.60,57.30,57.50,57.50,57.90,1288,85607,4955141.00,
500039,BANCO PROD. ,B ,Q,167.70,172.00,164.60,168.80,168.20,166.85,716,13700,2303573.00,
500040,CENTURY TEXT,A ,Q,547.10,551.00,527.95,533.70,533.70,547.15,4212,97441,52424271.00,
500041,BANNARI AMAN,B ,Q,1221.05,1221.05,1215.00,1215.00,1215.00,1213.00,52,50,60757.00,
500042,BASF INDIA  ,B ,Q,1309.00,1337.00,1250.00,1270.65,1270.65,1302.95,1769,10090,13132444.00,
500043,BATA INDIA  ,A ,Q,1324.00,1338.00,1301.00,1305.50,1305.50,1331.35,950,7954,10484874.00,
500048,BEML LTD    ,A ,Q,814.00,821.20,772.20,778.00,778.00,811.10,10866,144716,115466726.00,
500049,BHARAT ELECT,A ,Q,2875.00,2958.00,2782.30,2812.00,2812.00,2897.20,12714,54308,156031029.00,
500052,BHANSALI ENG,B ,Q,13.91,14.00,13.73,14.00,14.00,14.40,17,1501,20937.00,
500055,BHUSH STEEL ,A ,Q,100.90,102.00,98.10,98.80,98.80,100.20,1376,39863,3974216.00,
500057,ABCIL       ,B ,Q,244.00,246.00,232.50,234.45,234.45,242.65,222,3646,866297.00,
500058,BIHAR SPONGE,T ,Q,2.90,3.08,2.90,2.96,2.96,2.95,17,1851,5642.00,
500059,BINANI IND. ,B ,Q,101.60,106.20,100.30,103.60,104.00,102.25,706,26136,2690627.00,
500060,BIRLA ERIC. ,T ,Q,63.50,65.70,63.00,65.05,65.70,65.05,113,10600,678878.00,
500067,BLUE STAR   ,B ,Q,345.00,346.50,338.10,338.60,339.00,342.20,147,1392,473964.00,
500068,DISA INDIA  ,B ,Q,4095.00,4100.00,3960.10,4097.10,4100.00,4064.05,24,70,286702.00,
500069,BNK CAPITAL ,B ,Q,33.70,33.70,31.05,33.70,33.70,33.60,8,77,2435.00,
500074,BPL LTD.    ,B ,Q,23.45,26.05,22.85,25.55,25.55,23.25,4601,467943,11675599.00,
500078,CAMPH.& ALL ,B ,Q,351.95,351.95,315.00,316.35,316.00,320.95,102,2526,809824.00,
500083,CENTURY EXT ,B ,Q,1.91,2.23,1.91,2.04,2.05,2.06,532,53851,109938.00,
500084,CESC LTD.   ,A ,Q,700.00,706.35,662.15,665.45,665.45,700.90,2334,36693,24789874.00,
500085,CHAMBAL FERT,B ,Q,65.65,67.15,64.95,65.15,65.15,64.85,1726,107720,7098431.00,
500086,EXIDE IND.  ,A ,Q,170.00,172.15,166.65,169.50,169.50,170.05,2514,158760,26857172.00,
500087,CIPLA LTD.  ,A ,Q,650.00,654.70,641.65,650.75,650.75,646.80,4679,118056,76616012.00,
500089,DIC INDIA   ,B ,Q,399.00,405.00,394.00,399.85,399.85,399.35,180,1132,452555.00,
500092,CRISIL LTD  ,A ,Q,1905.00,1938.40,1885.20,1905.55,1910.00,1906.65,688,1596,3048729.00,
500093,CROMPT.GREAV,A ,Q,189.10,191.50,183.10,183.95,183.95,191.00,11746,553583,103126647.00,
500095,WYETH LTD.  ,B ,Q,1317.80,1409.00,1310.25,1365.60,1365.60,1314.10,3547,22183,30593532.00,
500096,DABUR (I)   ,A ,Q,245.00,245.00,239.65,240.55,241.00,243.55,1456,51705,12463461.00,
500097,DALMIASUG   ,B ,Q,21.50,21.95,21.00,21.45,21.45,21.75,31,803,17169.00,
500101,ARVIND Ltd  ,A ,Q,290.35,293.95,275.50,277.90,277.90,290.90,11688,579293,165033825.00,
500102,BALARPUR IND,B ,Q,17.00,17.00,16.35,16.40,16.40,16.95,759,239801,3964315.00,
500103,BHEL        ,A ,Q,273.00,275.30,262.05,266.85,266.85,271.95,6144,320918,86252815.00,
500104,HIND.PETRO  ,A ,Q,574.20,581.85,565.00,567.75,567.75,570.20,5449,112530,64542732.00,
500106,IFCI LTD    ,A ,Q,40.30,40.80,39.30,39.45,39.45,40.35,4013,894931,35747173.00,
500108,MAHA.TELE   ,B ,Q,28.55,29.40,28.10,28.55,28.55,28.55,3391,650342,18725821.00,
500109,MRPL        ,A ,Q,54.90,55.65,53.00,53.20,53.20,53.80,1512,104174,5633803.00,
500110,CHENNAI PET.,B ,Q,86.00,86.65,81.95,82.55,82.55,85.90,2042,96135,8102635.00,
500111,REL.CAP.    ,A ,Q,523.15,530.90,512.20,526.30,526.30,520.50,28792,944088,494649303.00,
