SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1299.30,1313.65,1282.25,1285.30,1286.90,1289.75,1002,7683,9938167.00,
500003,AEGIS LOGIS ,B ,Q,444.80,456.00,440.00,442.65,441.90,444.20,1473,13585,6092251.00,
500008,AMAR RAJA BA,A ,Q,806.45,820.50,803.00,811.05,811.05,806.25,1674,16842,13656374.00,
500009,A.SARABHAI  ,B ,Q,4.50,4.88,4.50,4.65,4.65,4.67,42,2865,13402.00,
500010,HDFC        ,A ,Q,1178.00,1179.00,1151.05,1156.65,1156.65,1171.80,3637,49817,57950139.00,
500012,ANDHRA PETRO,B ,Q,11.48,11.48,10.50,10.65,10.65,10.98,208,93460,1018458.00,
500013,ANSAL INFRAS,B ,Q,26.70,28.05,25.80,26.10,26.10,26.70,1694,129153,3451682.00,
500014,APPLE FINANC,B ,Q,2.60,2.72,2.57,2.60,2.60,2.69,44,10828,29090.00,
500020,BOM DYEING  ,B ,Q,67.80,68.40,66.70,66.85,66.85,67.75,2430,183310,12404572.00,
500023,ASIANHOTNR  ,B ,Q,134.00,136.30,133.00,134.00,134.00,130.00,73,291,39123.00,
500024,ASSAMCO     ,B ,Q,5.33,5.33,5.05,5.07,5.07,5.32,1352,638919,3284353.00,
500027,ATUL LTD.   ,A ,Q,1367.00,1375.00,1319.80,1324.90,1324.90,1359.15,1052,15932,21463749.00,
500028,ATV PROJECTS,T ,Q,2.92,3.11,2.92,3.00,3.10,3.07,71,13731,41004.00,
500029,AUTOLITE(I) ,B ,Q,35.30,36.00,35.10,35.50,35.50,36.70,39,3750,133720.00,
500030,AUTORID.FIN ,B ,Q,0.66,0.66,0.65,0.66,0.66,0.70,39,18802,12359.00,
500031,BAJAJ ELECT.,A ,Q,237.70,249.40,233.90,245.30,245.30,237.45,10911,347448,85044025.00,
500032,BAJAJHIND.LT,B ,Q,19.15,19.40,19.10,19.20,19.20,18.90,1623,461844,8866370.00,
500033,FORCE MOTR  ,B ,Q,1175.90,1218.00,1170.00,1187.55,1187.55,1168.05,8402,92349,110321729.00,
500034,BAJFINANCE  ,A ,Q,3460.00,3519.50,3410.00,3449.85,3445.00,3438.55,807,1672,5789048.00,
500038,BALRAM.CHINI,A ,Q,60.50,60.70,59.60,60.40,60.05,60.15,367,27071,1631592.00,
500039,BANCO PROD. ,B ,Q,161.95,162.80,156.65,157.85,157.85,160.30,423,10742,1712791.00,
500040,CENTURY TEXT,A ,Q,533.00,541.30,528.65,535.55,535.55,533.45,2574,56600,30276318.00,
500041,BANNARI AMAN,B ,Q,1120.00,1199.95,1087.00,1087.00,1087.00,1136.00,48,413,458141.00,
500042,BASF INDIA  ,B ,Q,1280.00,1309.25,1280.00,1300.80,1300.80,1268.10,1054,4920,6389308.00,
500043,BATA INDIA  ,A ,Q,1330.00,1354.45,1322.30,1327.85,1327.85,1320.60,2040,17008,22729113.00,
500046,BEST&CROMPT.,Z ,Q,3.80,3.80,3.80,3.80,3.80,3.99,7,110,418.00,
500048,BEML LTD    ,A ,Q,788.50,795.00,768.80,773.60,773.60,783.65,5071,68032,53070014.00,
500049,BHARAT ELECT,A ,Q,2930.00,2931.65,2855.10,2866.65,2866.65,2926.10,2453,12836,37103823.00,
500051,BHAG GAS    ,Z ,Q,0.96,0.96,0.90,0.96,0.96,0.92,14,6211,5961.00,
500052,BHANSALI ENG,B ,Q,15.90,15.90,14.85,15.00,15.00,14.75,18,637,9565.00,
500055,BHUSH STEEL ,A ,Q,90.00,91.05,89.65,90.75,91.00,89.40,934,39573,3587080.00,
500057,ABCIL       ,B ,Q,225.00,226.10,214.55,215.35,214.55,223.35,375,4595,998495.00,
500058,BIHAR SPONGE,T ,Q,3.01,3.22,3.01,3.10,3.10,3.07,32,3762,12005.00,
500059,BINANI IND. ,B ,Q,105.05,107.20,104.80,105.55,105.75,104.40,290,7845,832904.00,
500060,BIRLA ERIC. ,T ,Q,70.40,70.90,68.40,69.05,69.00,70.50,131,10244,712044.00,
500067,BLUE STAR   ,B ,Q,333.90,334.00,325.10,327.45,327.45,330.35,257,2022,667306.00,
500068,DISA INDIA  ,B ,Q,4100.00,4225.00,4100.00,4225.00,4225.00,4200.00,46,453,1870654.00,
500069,BNK CAPITAL ,B ,Q,52.00,55.50,51.50,52.10,52.10,51.40,176,14920,793101.00,
500074,BPL LTD.    ,B ,Q,32.10,33.80,31.30,31.85,31.85,32.70,3010,213073,6876636.00,
500078,CAMPH.& ALL ,B ,Q,280.00,280.25,270.00,270.75,270.00,278.75,158,5093,1400396.00,
500083,CENTURY EXT ,B ,Q,2.00,2.00,1.92,1.95,1.95,1.88,26,10597,20603.00,
500084,CESC LTD.   ,A ,Q,679.95,688.50,675.00,680.35,680.80,674.65,2029,15785,10775431.00,
500085,CHAMBAL FERT,B ,Q,62.35,62.35,61.15,61.45,61.45,61.70,759,138723,8587456.00,
500086,EXIDE IND.  ,A ,Q,183.70,189.25,183.20,185.20,185.20,184.50,4642,222072,41422944.00,
500087,CIPLA LTD.  ,A ,Q,630.10,637.50,627.75,632.75,632.75,630.15,3872,104053,65885018.00,
500089,DIC INDIA   ,B ,Q,382.50,382.50,376.00,376.40,376.10,381.95,54,1063,402104.00,
500092,CRISIL LTD  ,A ,Q,1940.00,1978.05,1900.00,1960.15,1960.15,1947.60,1028,5668,11110700.00,
500093,CROMPT.GREAV,A ,Q,188.00,190.50,186.45,187.60,187.60,186.70,6599,446191,84157399.00,
500096,DABUR (I)   ,A ,Q,233.30,236.60,231.75,232.35,232.35,235.00,1247,74879,17440325.00,
500097,DALMIASUG   ,B ,Q,22.50,23.75,22.50,23.45,23.00,22.75,61,3156,72815.00,
500101,ARVIND Ltd  ,A ,Q,281.90,284.40,280.70,281.30,281.30,282.00,5552,262789,74168260.00,
500102,BALARPUR IND,B ,Q,16.10,16.20,15.80,15.85,15.85,15.95,1010,323339,5175284.00,
500103,BHEL        ,A ,Q,276.30,278.40,269.70,273.15,273.15,275.40,6591,291885,79932931.00,
500104,HIND.PETRO  ,A ,Q,542.50,564.00,542.50,562.25,562.25,546.30,6200,191654,106793765.00,
500106,IFCI LTD    ,A ,Q,38.10,38.50,37.70,38.05,38.05,38.10,1753,399073,15229204.00,
500108,MAHA.TELE   ,B ,Q,27.55,27.85,27.20,27.35,27.35,27.55,1152,259361,7148785.00,
500109,MRPL        ,A ,Q,48.50,49.50,48.35,48.65,48.65,48.10,880,74289,3627791.00,
500110,CHENNAI PET.,B ,Q,72.60,75.00,72.60,74.25,74.25,73.30,1116,54323,4035646.00,
500111,REL.CAP.    ,A ,Q,500.70,509.25,495.40,503.80,503.80,498.95,21019,596247,300354799.00,
500112,STATE BANK  ,A ,Q,316.90,316.90,310.35,312.60,312.60,315.25,23893,1857756,582165999.00,
500113,STEEL AUTH. ,A ,Q,82.80,84.15,82.30,82.60,82.60,82.80,2741,280952,23393640.00,
500114,TITAN       ,A ,Q,382.80,389.35,382.80,385.15,385.15,382.15,2424,57088,22064653.00,
500116,IDBI BANK L ,A ,Q,77.30,78.10,75.85,76.05,76.05,76.90,5477,517027,39654720.00,
500117,DCW LTD.    ,B ,Q,17.80,18.20,17.80,18.00,18.20,18.00,647,91248,1641867.00,
500119,DHAMPUR SUGA,B ,Q,43.80,44.50,43.30,44.00,44.00,44.20,228,13999,614420.00,
500120,DIAMINES&CHM,B ,Q,32.65,32.65,32.40,32.50,32.40,33.40,10,1000,32525.00,
500123,ELANTAS     ,B ,Q,1205.00,1205.00,1143.10,1151.20,1151.20,1039.10,2786,31800,36984855.00,
500124,DR.REDDY'S  ,A ,Q,3222.00,3232.00,3132.60,3146.80,3146.80,3217.35,3871,42604,134539073.00,
500125,E.I.D.PAR   ,A ,Q,200.20,203.45,198.00,198.45,198.00,199.15,806,16641,3347721.00,
500126,MERCK LTD   ,B ,Q,807.25,849.00,807.25,834.85,834.85,807.25,2885,24642,20600176.00,
500128,ELEC.CASTING,B ,Q,18.75,19.15,18.60,18.70,18.70,18.45,578,86509,1626126.00,
500132,EMPEE SUGARS,B ,Q,4.13,4.13,3.80,3.82,3.82,3.87,22,6350,25069.00,
500133,ESAB INDIA  ,B ,Q,690.00,690.00,674.00,674.60,674.00,683.45,38,105,71527.00,
500134,ESSAR OIL   ,A ,Q,107.90,108.80,106.40,107.15,107.15,106.75,1246,57429,6180157.00,
500135,ESSEL PROP  ,B ,Q,134.30,136.30,133.20,135.00,135.00,133.65,1588,44714,6030766.00,
500136,ESTER INDUS.,B ,Q,20.85,21.30,20.35,20.40,20.45,20.85,108,16040,330803.00,
500139,FEDDER.LLYOD,B ,Q,76.55,78.80,74.65,77.80,77.80,70.85,6380,355299,27227304.00,
500141,FERRO ALLOYS,B ,Q,6.60,7.02,6.55,6.99,6.99,6.61,175,36646,251691.00,
500142,FGP LTD.    ,B ,Q,2.56,2.56,2.56,2.56,2.56,2.44,2,100,256.00,
500144,FINOL. CABLE,A ,Q,270.00,270.60,265.40,268.05,268.05,267.95,1835,33855,9069941.00,
