SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1234.70,1242.90,1198.00,1203.80,1203.80,1222.30,1866,9285,11323534.00,
500003,AEGIS LOGIS ,B ,Q,446.05,460.00,431.15,434.75,434.75,440.15,1335,16261,7290199.00,
500008,AMAR RAJA BA,A ,Q,727.00,764.50,727.00,758.35,758.35,722.80,5370,64948,49031461.00,
500009,A.SARABHAI  ,B ,Q,4.61,4.98,4.61,4.98,4.98,4.98,65,18375,87307.00,
500010,HDFC        ,A ,Q,1090.00,1102.00,1064.00,1070.25,1070.25,1093.45,3402,97741,105262435.00,
500012,ANDHRA PETRO,B ,Q,11.00,11.25,10.80,10.91,10.97,10.86,242,57020,629334.00,
500013,ANSAL INFRAS,B ,Q,29.50,29.80,28.20,28.30,28.30,29.45,183,16292,467393.00,
500014,APPLE FINANC,B ,Q,2.95,3.00,2.62,2.62,2.62,2.75,57,14098,39274.00,
500020,BOM DYEING  ,B ,Q,69.50,73.70,69.00,70.25,70.25,68.95,11682,957933,68463636.00,
500023,ASIANHOTNR  ,B ,Q,125.10,125.10,123.00,125.00,125.00,127.60,34,159,19820.00,
500024,ASSAMCO     ,B ,Q,4.49,4.49,4.24,4.26,4.26,4.41,608,388387,1674103.00,
500027,ATUL LTD.   ,A ,Q,1231.00,1236.00,1210.00,1222.10,1210.00,1215.55,820,2709,3313565.00,
500028,ATV PROJECTS,T ,Q,3.27,3.57,3.27,3.28,3.50,3.41,46,3374,11091.00,
500029,AUTOLITE(I) ,B ,Q,34.30,35.55,34.00,34.90,34.90,35.00,38,39920,1392723.00,
500030,AUTORID.FIN ,B ,Q,0.92,0.92,0.92,0.92,0.92,0.88,4,555,510.00,
500031,BAJAJ ELECT.,A ,Q,221.30,227.90,218.25,220.15,220.15,220.05,5372,148779,33361882.00,
500032,BAJAJHIND.LT,B ,Q,21.90,22.15,20.35,20.45,20.45,21.95,3959,747207,15638371.00,
500033,FORCE MOTR  ,B ,Q,1237.80,1248.00,1187.15,1195.10,1195.10,1237.80,7162,81105,98603583.00,
500034,BAJFINANCE  ,A ,Q,3310.00,3329.90,3277.00,3301.35,3300.00,3299.60,650,1789,5916456.00,
500038,BALRAM.CHINI,A ,Q,61.95,62.15,59.60,60.20,60.20,61.55,2206,173118,10464069.00,
500039,BANCO PROD. ,B ,Q,165.00,170.80,159.60,160.90,160.90,165.00,1887,31599,5223311.00,
500040,CENTURY TEXT,A ,Q,515.60,524.30,513.65,516.05,516.05,518.75,2516,82204,42595977.00,
500041,BANNARI AMAN,B ,Q,1204.10,1210.00,1155.00,1170.45,1187.00,1225.75,219,746,884352.00,
500042,BASF INDIA  ,B ,Q,1271.60,1297.05,1250.00,1255.40,1255.40,1281.95,585,3042,3859314.00,
500043,BATA INDIA  ,A ,Q,1320.60,1325.00,1276.15,1284.95,1277.00,1311.05,1326,10454,13597042.00,
500048,BEML LTD    ,A ,Q,766.00,779.00,742.10,747.85,747.85,761.85,6011,79832,60644334.00,
500049,BHARAT ELECT,A ,Q,2945.00,2984.85,2775.00,2804.70,2804.70,2888.60,8314,40693,117007767.00,
