SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1118.45,1140.00,1092.20,1126.15,1126.15,1118.45,1313,8037,9056274.00,
500003,AEGIS LOGIS ,B ,Q,460.00,463.00,442.65,452.20,452.20,457.85,1167,8597,3905140.00,
500008,AMAR RAJA BA,A ,Q,735.00,740.00,722.25,727.75,727.75,733.65,1882,48584,35405442.00,
500009,A.SARABHAI  ,B ,Q,4.70,5.13,4.70,4.90,4.90,4.90,34,1973,9672.00,
500010,HDFC        ,A ,Q,1140.00,1140.00,1112.00,1124.75,1121.00,1138.15,5331,86921,97812144.00,
500012,ANDHRA PETRO,B ,Q,9.00,9.15,8.66,8.84,9.00,8.88,216,56167,495320.00,
500013,ANSAL INFRAS,B ,Q,30.35,30.45,29.60,29.90,29.90,30.30,332,26181,783858.00,
500014,APPLE FINANC,B ,Q,3.15,3.15,2.91,2.97,2.96,3.10,71,11626,34917.00,
500020,BOM DYEING  ,B ,Q,67.50,70.60,67.25,69.95,69.95,67.75,6189,560309,38721527.00,
500023,ASIANHOTNR  ,B ,Q,120.00,127.00,117.20,126.65,126.65,118.75,57,2711,337156.00,
500024,ASSAMCO     ,B ,Q,4.42,4.48,4.40,4.44,4.44,4.47,355,283145,1261448.00,
500027,ATUL LTD.   ,A ,Q,1265.00,1276.15,1255.00,1261.95,1261.95,1269.65,369,2558,3232543.00,
500028,ATV PROJECTS,T ,Q,3.42,3.73,3.42,3.71,3.73,3.60,37,2162,7538.00,
500029,AUTOLITE(I) ,B ,Q,37.35,37.35,35.35,36.40,36.65,36.05,45,3951,143088.00,
500030,AUTORID.FIN ,B ,Q,0.88,0.88,0.88,0.88,0.88,0.92,16,3226,2838.00,
500031,BAJAJ ELECT.,A ,Q,201.50,212.00,198.95,209.10,209.10,201.70,5850,186843,38494098.00,
500032,BAJAJHIND.LT,B ,Q,19.80,20.55,19.80,20.30,20.30,20.05,2730,487568,9858251.00,
500033,FORCE MOTR  ,B ,Q,1236.00,1260.00,1233.00,1239.65,1239.65,1238.75,5824,76852,95726698.00,
500034,BAJFINANCE  ,A ,Q,3077.50,3105.80,3040.00,3085.15,3075.65,3078.65,598,3127,9616865.00,
500038,BALRAM.CHINI,A ,Q,59.00,59.00,56.55,56.90,56.90,59.30,2189,148892,8572962.00,
500039,BANCO PROD. ,B ,Q,171.70,174.00,169.00,170.55,170.55,168.15,1269,32047,5484204.00,
500040,CENTURY TEXT,A ,Q,531.70,556.00,528.00,551.50,555.50,532.00,4451,136876,74415150.00,
500041,BANNARI AMAN,B ,Q,1230.00,1242.00,1228.00,1228.00,1228.00,1228.00,10,8,9889.00,
500042,BASF INDIA  ,B ,Q,1272.00,1305.10,1250.45,1274.90,1274.90,1275.15,1858,13327,17060665.00,
500043,BATA INDIA  ,A ,Q,1255.00,1274.00,1238.00,1270.35,1270.35,1251.45,1832,20677,25886039.00,
500048,BEML LTD    ,A ,Q,700.50,748.00,691.00,743.30,743.30,700.45,8897,136995,99511491.00,
500049,BHARAT ELECT,A ,Q,2324.75,2545.05,2305.15,2512.90,2512.90,2303.30,16616,134450,329091127.00,
500051,BHAG GAS    ,Z ,Q,0.96,0.96,0.96,0.96,0.96,0.99,5,1100,1056.00,
500052,BHANSALI ENG,B ,Q,13.80,13.85,13.60,13.63,13.60,13.99,28,13289,183063.00,
500055,BHUSH STEEL ,A ,Q,102.00,104.50,99.80,100.30,100.30,101.50,1867,78205,7967724.00,
500057,ABCIL       ,B ,Q,242.00,242.50,233.10,234.80,234.80,239.70,191,2637,625532.00,
500058,BIHAR SPONGE,T ,Q,2.74,2.90,2.74,2.90,2.90,2.88,34,8305,23860.00,
500059,BINANI IND. ,B ,Q,101.00,101.85,98.25,98.85,99.50,102.10,471,19972,1990631.00,
500060,BIRLA ERIC. ,T ,Q,62.10,63.90,61.10,62.10,62.10,62.50,128,11186,694952.00,
500067,BLUE STAR   ,B ,Q,346.35,349.00,341.05,346.95,346.95,344.20,312,2101,727517.00,
500068,DISA INDIA  ,B ,Q,3502.00,3750.00,3502.00,3668.30,3700.00,3664.95,42,193,710679.00,
500069,BNK CAPITAL ,B ,Q,30.75,33.20,30.75,33.20,33.20,32.60,4,124,3835.00,
500074,BPL LTD.    ,B ,Q,20.10,20.15,19.55,20.05,20.05,19.85,388,41534,828898.00,
500078,CAMPH.& ALL ,B ,Q,331.00,337.00,330.05,333.80,332.00,335.70,47,666,222514.00,
500083,CENTURY EXT ,B ,Q,2.25,2.25,1.90,1.98,1.98,1.96,404,20574,40233.00,
500084,CESC LTD.   ,A ,Q,715.95,720.80,703.35,712.00,708.50,716.45,1115,12427,8835903.00,
500085,CHAMBAL FERT,B ,Q,65.50,66.55,65.20,66.15,66.00,66.00,1364,53033,3492763.00,
500086,EXIDE IND.  ,A ,Q,166.70,174.85,166.10,174.10,174.10,167.90,5845,323280,55714716.00,
500087,CIPLA LTD.  ,A ,Q,640.15,651.75,637.40,639.60,639.60,643.05,5345,125853,81020482.00,
500089,DIC INDIA   ,B ,Q,388.00,390.00,380.10,389.00,384.10,386.60,45,170,65907.00,
500092,CRISIL LTD  ,A ,Q,1882.55,1910.00,1882.55,1904.95,1905.00,1883.40,278,1105,2101941.00,
500093,CROMPT.GREAV,A ,Q,186.00,190.70,182.35,188.80,188.80,186.70,13071,638993,119717732.00,
500095,WYETH LTD.  ,B ,Q,1244.95,1256.50,1226.60,1241.75,1239.15,1224.40,866,3238,4016293.00,
500096,DABUR (I)   ,A ,Q,246.00,247.00,241.50,242.50,242.50,245.40,1736,51937,12660504.00,
500097,DALMIASUG   ,B ,Q,21.20,21.95,20.75,21.40,21.45,21.65,96,2115,44776.00,
500101,ARVIND Ltd  ,A ,Q,274.95,286.00,273.50,285.05,285.05,275.55,6917,367844,103271368.00,
500102,BALARPUR IND,B ,Q,16.30,16.70,16.30,16.55,16.55,16.35,859,208866,3435909.00,
500103,BHEL        ,A ,Q,274.95,278.20,270.00,271.50,271.50,274.00,6651,291945,79884036.00,
500104,HIND.PETRO  ,A ,Q,597.70,597.70,578.35,591.10,594.00,603.65,9033,310639,182761659.00,
500106,IFCI LTD    ,A ,Q,39.00,39.95,38.70,39.75,39.75,39.05,4769,1011573,39719577.00,
500108,MAHA.TELE   ,B ,Q,27.00,27.35,26.50,26.70,26.70,27.10,1225,323286,8677977.00,
500109,MRPL        ,A ,Q,53.15,54.25,52.80,54.00,53.90,52.85,1474,88481,4753306.00,
500110,CHENNAI PET.,B ,Q,87.50,88.20,85.55,86.10,86.10,87.15,1313,65521,5695217.00,
500111,REL.CAP.    ,A ,Q,513.30,524.00,511.50,520.35,520.35,513.15,18428,515212,267074672.00,
500112,STATE BANK  ,A ,Q,319.55,322.75,311.75,318.75,318.75,319.45,54788,3071362,977137525.00,
500113,STEEL AUTH. ,A ,Q,87.00,90.50,85.50,89.85,89.85,87.85,11006,1229701,108811871.00,
500114,TITAN       ,A ,Q,391.90,393.00,384.10,387.95,387.95,389.65,3365,121578,47117705.00,
500116,IDBI BANK L ,A ,Q,71.00,73.75,69.50,73.45,73.45,70.60,7155,772216,55414690.00,
500117,DCW LTD.    ,B ,Q,21.90,21.90,20.75,21.05,21.05,21.80,1383,215476,4547336.00,
500119,DHAMPUR SUGA,B ,Q,46.40,47.10,46.10,46.30,46.30,47.10,154,10568,491722.00,
500120,DIAMINES&CHM,B ,Q,33.15,38.00,33.10,34.55,34.55,34.35,141,11403,422288.00,
500123,ELANTAS     ,B ,Q,880.00,915.00,878.40,901.25,901.25,882.15,481,5760,5166221.00,
500124,DR.REDDY'S  ,A ,Q,3600.00,3614.40,3582.45,3592.90,3596.05,3626.65,1185,8654,31101645.00,
500125,E.I.D.PAR   ,A ,Q,212.20,214.85,211.00,212.10,212.10,212.60,942,25432,5410170.00,
500126,MERCK LTD   ,B ,Q,779.25,785.00,775.10,779.55,776.00,772.70,950,11134,8690530.00,
500128,ELEC.CASTING,B ,Q,21.05,21.25,20.40,21.10,21.10,20.85,1989,262003,5452871.00,
500132,EMPEE SUGARS,B ,Q,4.20,4.20,4.10,4.10,4.10,4.06,20,6771,28024.00,
500133,ESAB INDIA  ,B ,Q,652.00,665.75,641.05,661.35,660.00,649.10,149,1552,1021620.00,
500134,ESSAR OIL   ,A ,Q,94.60,97.00,94.60,96.00,96.00,95.10,1498,134822,12942295.00,
500135,ESSEL PROP  ,B ,Q,121.45,127.30,121.00,125.20,125.20,120.90,1039,42470,5307380.00,
500136,ESTER INDUS.,B ,Q,22.50,22.50,19.70,20.40,20.15,20.90,118,7135,145297.00,
500139,FEDDER.LLYOD,B ,Q,71.00,71.20,70.20,70.85,71.10,70.70,134,11210,793288.00,
500141,FERRO ALLOYS,B ,Q,7.01,7.48,6.91,6.99,6.99,7.12,183,59325,415351.00,
500142,FGP LTD.    ,B ,Q,3.44,3.44,3.44,3.44,3.44,3.28,2,51,175.00,
500144,FINOL. CABLE,A ,Q,260.00,263.70,257.25,262.00,262.00,260.00,1080,319062,83573407.00,
500147,CMI FPE     ,B ,Q,441.00,457.70,440.00,454.90,457.70,431.40,53,307,137538.00,
500148,UFLEX LTD   ,B ,Q,169.40,169.40,164.00,168.25,168.25,169.40,2050,75309,12579590.00,
500150,FOSECO INDIA,B ,Q,1082.00,1110.00,1082.00,1107.15,1110.00,1080.50,112,269,295812.00,
500151,GOLDEN TOB  ,B ,Q,36.95,37.05,35.50,35.50,35.50,35.80,24,642,22924.00,
500153,GANESH BENZO,B ,Q,5.60,5.79,5.41,5.51,5.79,6.00,31,4417,24276.00,
500155,GARDEN SILK ,B ,Q,33.00,33.50,32.70,32.80,32.80,32.95,84,3567,117450.00,
500159,METROGLOBL  ,B ,Q,70.20,72.50,70.05,70.60,70.05,72.75,49,3058,220163.00,
500160,GTL LTD.    ,B ,Q,18.55,19.10,18.30,18.90,18.90,18.65,638,64615,1212073.00,
500162,PARRYSUGR   ,B ,Q,21.00,22.05,21.00,22.05,22.05,21.00,26,2378,52119.00,
500163,GODFREY PH  ,B ,Q,605.00,605.00,587.20,597.75,597.75,604.55,616,3902,2316592.00,
500164,GODREJ IND  ,A ,Q,285.10,291.00,284.20,288.95,288.95,285.30,1059,31050,8957337.00,
