SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1269.00,1269.00,1223.05,1228.45,1228.45,1269.00,1607,9141,11336088.00,
500003,AEGIS LOGIS ,B ,Q,442.55,454.00,426.00,427.55,427.55,448.60,761,7436,3268305.00,
500008,AMAR RAJA BA,A ,Q,730.00,735.00,715.20,725.90,725.90,734.65,1875,24900,18100642.00,
500009,A.SARABHAI  ,B ,Q,4.80,5.10,4.53,5.05,5.05,4.80,65,7672,37877.00,
500010,HDFC        ,A ,Q,1112.50,1119.00,1084.35,1103.60,1103.60,1108.65,3454,42367,46892007.00,
500012,ANDHRA PETRO,B ,Q,10.21,10.79,10.00,10.17,10.10,10.37,333,67800,709269.00,
500013,ANSAL INFRAS,B ,Q,30.30,30.60,29.30,29.40,29.40,30.35,192,16347,488112.00,
500014,APPLE FINANC,B ,Q,3.00,3.15,2.75,3.00,3.00,3.05,63,20882,61728.00,
500020,BOM DYEING  ,B ,Q,69.60,71.70,69.30,69.70,69.70,70.35,6738,316705,22282100.00,
500023,ASIANHOTNR  ,B ,Q,133.50,138.00,131.05,135.00,131.05,133.65,16,204,27322.00,
500024,ASSAMCO     ,B ,Q,4.49,4.50,4.28,4.30,4.30,4.37,426,240231,1043660.00,
500027,ATUL LTD.   ,A ,Q,1273.00,1280.05,1230.00,1247.15,1239.00,1278.45,708,13497,17024904.00,
500028,ATV PROJECTS,T ,Q,3.77,3.77,3.44,3.58,3.65,3.60,36,3555,12369.00,
500029,AUTOLITE(I) ,B ,Q,35.15,37.45,35.10,36.00,36.30,36.20,30,727,26062.00,
500030,AUTORID.FIN ,B ,Q,0.79,0.80,0.79,0.80,0.80,0.77,15,5800,4592.00,
500031,BAJAJ ELECT.,A ,Q,213.90,213.90,206.00,208.40,208.40,214.40,2740,73974,15468619.00,
500032,BAJAJHIND.LT,B ,Q,19.50,19.90,18.80,18.95,18.95,19.40,1636,385809,7459008.00,
500033,FORCE MOTR  ,B ,Q,1258.70,1267.90,1225.00,1236.20,1236.20,1258.40,5625,87474,109058169.00,
500034,BAJFINANCE  ,A ,Q,3265.00,3279.85,3227.00,3251.45,3250.00,3263.35,1017,3490,11339727.00,
500038,BALRAM.CHINI,A ,Q,56.90,57.55,55.40,55.85,55.85,57.50,1084,80957,4584370.00,
500039,BANCO PROD. ,B ,Q,169.95,171.95,157.50,159.50,160.80,168.80,1490,47554,7813555.00,
500040,CENTURY TEXT,A ,Q,532.95,534.80,510.00,515.85,515.85,533.70,4354,128650,67135557.00,
500041,BANNARI AMAN,B ,Q,1201.00,1201.00,1175.00,1175.00,1175.00,1215.00,8,7,8369.00,
500042,BASF INDIA  ,B ,Q,1286.55,1292.40,1261.10,1273.05,1273.05,1270.65,631,3588,4578168.00,
500043,BATA INDIA  ,A ,Q,1305.55,1305.55,1266.50,1277.95,1281.50,1305.50,1035,7225,9325316.00,
500048,BEML LTD    ,A ,Q,778.70,815.00,773.50,783.10,783.10,778.00,12689,168829,134013103.00,
500049,BHARAT ELECT,A ,Q,2839.00,2973.00,2805.00,2841.25,2841.25,2812.00,10770,48909,141365754.00,
500051,BHAG GAS    ,Z ,Q,0.88,0.89,0.88,0.89,0.89,0.92,10,500,444.00,
500052,BHANSALI ENG,B ,Q,14.00,14.50,14.00,14.00,14.00,14.00,20,3254,45779.00,
500055,BHUSH STEEL ,A ,Q,97.25,100.50,96.05,97.40,97.40,98.80,1351,44528,4368132.00,
500057,ABCIL       ,B ,Q,230.00,237.00,222.00,224.10,226.50,234.45,347,4869,1118873.00,
500058,BIHAR SPONGE,T ,Q,3.10,3.10,2.90,3.10,3.00,2.96,44,8744,26800.00,
500059,BINANI IND. ,B ,Q,105.40,116.00,104.75,108.75,108.75,103.60,5814,177183,19659761.00,
500060,BIRLA ERIC. ,T ,Q,65.90,66.80,63.00,63.40,64.00,65.05,179,16520,1073249.00,
500067,BLUE STAR   ,B ,Q,337.60,338.60,333.00,333.95,333.95,338.60,204,2523,845320.00,
500068,DISA INDIA  ,B ,Q,4129.95,4214.70,4000.00,4124.10,4124.10,4097.10,69,405,1661610.00,
500069,BNK CAPITAL ,B ,Q,30.50,33.45,30.50,31.10,33.45,33.70,4,125,3886.00,
500074,BPL LTD.    ,B ,Q,25.90,26.00,23.25,23.45,23.45,25.55,2031,193682,4741107.00,
500078,CAMPH.& ALL ,B ,Q,339.00,339.00,310.00,313.50,310.00,316.35,152,3250,1021459.00,
500083,CENTURY EXT ,B ,Q,2.22,2.22,2.00,2.13,2.16,2.04,402,40366,84111.00,
500084,CESC LTD.   ,A ,Q,669.85,669.85,635.05,637.85,637.85,665.45,2771,45040,29118956.00,
500085,CHAMBAL FERT,B ,Q,65.80,65.80,64.00,64.25,64.25,65.15,1371,71858,4659155.00,
500086,EXIDE IND.  ,A ,Q,170.50,177.00,168.10,171.65,171.65,169.50,7403,550987,95149216.00,
500087,CIPLA LTD.  ,A ,Q,650.55,652.00,636.80,639.85,639.85,650.75,3096,65545,42196793.00,
500089,DIC INDIA   ,B ,Q,405.00,409.95,389.00,393.10,393.10,399.85,147,1482,585048.00,
500092,CRISIL LTD  ,A ,Q,1910.00,1915.00,1853.00,1892.65,1876.00,1905.55,611,1276,2403524.00,
500093,CROMPT.GREAV,A ,Q,182.10,183.60,176.60,177.85,177.85,183.95,18032,859742,154220407.00,
500095,WYETH LTD.  ,B ,Q,1395.90,1395.90,1330.25,1334.60,1344.00,1365.60,1450,6173,8354401.00,
500096,DABUR (I)   ,A ,Q,240.00,241.65,238.20,239.20,239.20,240.55,1358,41474,9947092.00,
500097,DALMIASUG   ,B ,Q,21.20,21.65,20.75,21.45,21.45,21.45,42,1814,38647.00,
500101,ARVIND Ltd  ,A ,Q,277.40,281.40,267.35,269.05,269.05,277.90,10048,518499,142144875.00,
500102,BALARPUR IND,B ,Q,16.20,16.60,15.80,15.90,15.90,16.40,1367,545497,8828032.00,
500103,BHEL        ,A ,Q,266.00,267.50,258.20,259.05,259.05,266.85,6219,591401,154146972.00,
500104,HIND.PETRO  ,A ,Q,578.00,593.45,571.00,581.95,581.95,567.75,13654,274351,160268552.00,
500106,IFCI LTD    ,A ,Q,39.15,39.80,37.35,37.45,37.45,39.45,4171,1125780,43110592.00,
500108,MAHA.TELE   ,B ,Q,28.25,28.85,27.55,27.70,27.70,28.55,1831,391086,10957237.00,
500109,MRPL        ,A ,Q,53.20,53.85,51.00,51.90,51.90,53.20,1101,84996,4484286.00,
500110,CHENNAI PET.,B ,Q,81.55,83.80,80.20,80.65,80.65,82.55,1920,85531,7012519.00,
500111,REL.CAP.    ,A ,Q,531.25,539.20,513.00,515.60,515.60,526.30,32045,986520,518339363.00,
500112,STATE BANK  ,A ,Q,313.40,314.60,305.40,306.70,306.70,313.25,31580,1737833,537579726.00,
500113,STEEL AUTH. ,A ,Q,82.30,82.30,79.25,79.45,79.45,82.30,5185,971025,77987799.00,
500114,TITAN       ,A ,Q,380.30,381.00,370.00,370.90,370.90,381.35,2369,84770,31801183.00,
500116,IDBI BANK L ,A ,Q,72.40,72.90,68.85,69.10,69.10,72.30,5322,544118,38271853.00,
500117,DCW LTD.    ,B ,Q,20.10,20.25,19.25,19.35,19.35,20.20,1021,187186,3690542.00,
500119,DHAMPUR SUGA,B ,Q,45.35,46.00,44.20,44.30,44.25,45.00,357,22370,1001701.00,
500120,DIAMINES&CHM,B ,Q,36.00,36.00,33.15,33.50,33.40,36.70,98,9258,323436.00,
500123,ELANTAS     ,B ,Q,1037.90,1038.00,990.00,1004.80,1017.00,1026.15,414,2067,2081572.00,
500124,DR.REDDY'S  ,A ,Q,3329.80,3379.20,3322.00,3354.85,3365.50,3314.80,1934,13430,44989999.00,
500125,E.I.D.PAR   ,A ,Q,210.10,212.65,205.50,206.80,206.80,210.10,982,29383,6144363.00,
500126,MERCK LTD   ,B ,Q,893.00,897.45,847.00,850.60,850.60,888.50,3602,27529,23887771.00,
500128,ELEC.CASTING,B ,Q,20.15,20.50,19.75,19.90,19.90,20.35,946,140304,2818607.00,
500132,EMPEE SUGARS,B ,Q,4.35,4.35,4.00,4.07,4.07,4.07,23,5055,20502.00,
500133,ESAB INDIA  ,B ,Q,667.00,674.55,662.05,666.50,668.00,668.10,97,833,556083.00,
500134,ESSAR OIL   ,A ,Q,117.10,118.00,112.80,113.55,113.55,118.05,2461,115800,13341215.00,
500135,ESSEL PROP  ,B ,Q,124.95,129.40,124.10,124.50,124.50,125.45,1368,68915,8650165.00,
500136,ESTER INDUS.,B ,Q,21.10,21.20,20.20,20.60,20.20,20.95,159,23319,489809.00,
500139,FEDDER.LLYOD,B ,Q,69.20,69.25,66.75,67.15,67.15,68.90,276,22501,1528727.00,
500141,FERRO ALLOYS,B ,Q,6.87,7.08,6.87,6.93,6.95,7.08,91,49336,343946.00,
500142,FGP LTD.    ,B ,Q,3.00,3.00,3.00,3.00,3.00,3.15,2,165,495.00,
500144,FINOL. CABLE,A ,Q,269.10,270.35,260.55,261.75,262.00,266.50,902,35484,9360948.00,
500147,CMI FPE     ,B ,Q,470.00,485.00,465.00,466.55,466.00,476.45,56,696,327494.00,
500148,UFLEX LTD   ,B ,Q,166.80,168.25,161.25,161.80,161.80,169.45,2825,110188,18068530.00,
500150,FOSECO INDIA,B ,Q,1250.00,1300.00,1222.10,1254.50,1254.50,1253.95,486,1801,2280104.00,
500151,GOLDEN TOB  ,B ,Q,36.55,37.15,35.20,36.00,36.00,37.55,63,3084,112084.00,
500153,GANESH BENZO,B ,Q,5.51,5.51,5.27,5.31,5.35,5.55,31,7202,39552.00,
500155,GARDEN SILK ,B ,Q,33.25,33.25,32.50,32.55,32.50,32.80,57,5886,191958.00,
500159,METROGLOBL  ,B ,Q,60.30,67.00,60.30,66.90,67.00,68.30,43,2733,180026.00,
500160,GTL LTD.    ,B ,Q,18.40,18.80,17.80,18.10,18.10,18.55,430,43858,803056.00,
500162,PARRYSUGR   ,B ,Q,20.20,22.20,20.20,22.20,22.20,22.40,19,1783,38008.00,
500163,GODFREY PH  ,B ,Q,615.00,620.00,600.70,603.60,605.00,616.20,716,8193,4996129.00,
500164,GODREJ IND  ,A ,Q,289.00,289.00,281.00,282.80,282.80,288.55,1139,29080,8252466.00,
500165,KANSAI NERO ,B ,Q,1999.50,2011.00,1997.55,2003.15,2000.00,1993.25,158,587,1176138.00,
500166,GOODRICKE   ,B ,Q,164.60,170.00,161.05,161.70,161.70,165.30,384,21651,3558677.00,
500168,GOODYEAR (I),B ,Q,672.00,681.70,655.70,662.50,663.00,669.55,1032,14208,9481435.00,
500170,GTN INDUS   ,B ,Q,12.20,12.38,10.60,12.38,12.38,11.26,26,3447,41326.00,
500171,GHCL LTD    ,B ,Q,86.90,86.95,83.65,84.00,84.00,86.30,662,33993,2885150.00,
500173,GUJ.FLOURO  ,B ,Q,753.50,754.75,714.65,722.70,725.00,753.35,680,3986,2921372.00,
500174,GUJ.LEASE   ,B ,Q,2.30,2.30,2.30,2.30,2.30,2.63,3,1000,2300.00,
500179,HCL INFOSYS ,B ,Q,59.60,60.25,56.55,56.90,56.90,60.25,10108,1024302,59572663.00,
500180,HDFC BANK   ,A ,Q,922.10,935.15,922.10,927.15,927.15,927.50,4553,66437,61767679.00,
500182,HEROMOTOCO  ,A ,Q,3155.00,3198.55,3123.90,3135.65,3129.80,3159.20,1342,9479,29955006.00,
500183,HIMACHAL FUT,B ,Q,19.70,20.45,19.65,19.75,19.75,19.85,3836,1506830,30071844.00,
500184,HIMADRI CHEM,B ,Q,28.00,28.50,27.65,27.75,27.75,28.10,132,8437,235764.00,
500185,HIND.CONSTN.,A ,Q,31.80,32.30,30.55,30.90,30.90,31.95,6743,1493780,46448076.00,
500186,HIND.OIL EXP,B ,Q,43.40,44.15,42.15,42.35,42.35,43.85,2128,213966,9207105.00,
500187,HSIL        ,B ,Q,360.65,371.50,359.65,362.60,362.60,352.80,3158,32204,11758318.00,
500188,HINDUS.ZI   ,A ,Q,172.00,174.10,167.00,168.30,167.00,172.85,4609,179902,30779605.00,
500189,HINDUJA VENT,B ,Q,323.45,326.00,319.00,320.75,320.75,320.50,448,7558,2439157.00,
500191,HMT LTD.    ,B ,Q,59.90,62.70,56.10,57.20,57.20,58.50,12387,887047,53159617.00,
500192,PRAG BOSIMI ,T ,Q,5.70,5.95,5.57,5.92,5.92,5.67,44,7549,44057.00,
500193,HOTEL LEELA.,B ,Q,22.65,22.90,21.70,21.80,22.00,22.50,975,132472,2939152.00,
500199,I.G.PETRO   ,B ,Q,59.00,59.85,58.00,58.10,58.10,60.15,172,7409,434077.00,
500201,IND.GLYCOLS ,B ,Q,113.20,115.50,111.10,111.55,111.55,114.45,521,16745,1890053.00,
500202,IND.LEAS.DEV,B ,Q,7.06,7.06,7.05,7.05,7.05,7.37,4,400,2822.00,
500206,MARGO FIN   ,T ,Q,4.62,4.62,4.62,4.62,4.62,4.80,2,100,462.00,
