SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1190.00,1190.00,1152.25,1159.95,1163.00,1203.80,2546,14913,17397856.00,
500003,AEGIS LOGIS ,B ,Q,430.00,439.00,428.10,431.55,431.55,434.75,762,5363,2319832.00,
500008,AMAR RAJA BA,A ,Q,784.95,784.95,756.00,769.40,769.40,758.35,2836,36529,28059128.00,
500009,A.SARABHAI  ,B ,Q,4.61,5.02,4.61,5.02,5.02,4.98,21,2517,12224.00,
500010,HDFC        ,A ,Q,1068.00,1127.65,1061.85,1123.10,1123.10,1070.25,7919,107705,119474117.00,
500012,ANDHRA PETRO,B ,Q,10.87,10.90,10.36,10.39,10.48,10.91,140,39526,416850.00,
500013,ANSAL INFRAS,B ,Q,28.00,28.05,27.25,27.35,27.35,28.30,206,314185,8702275.00,
500014,APPLE FINANC,B ,Q,2.70,2.85,2.25,2.62,2.50,2.62,65,16642,43096.00,
500020,BOM DYEING  ,B ,Q,69.70,70.55,68.65,69.10,69.10,70.25,3841,250080,17396281.00,
500023,ASIANHOTNR  ,B ,Q,123.00,126.00,118.25,122.00,126.00,125.00,41,1633,199204.00,
500024,ASSAMCO     ,B ,Q,4.16,4.40,4.16,4.24,4.24,4.26,264,122321,524021.00,
500027,ATUL LTD.   ,A ,Q,1218.00,1325.00,1215.55,1306.25,1323.00,1222.10,1867,41826,53781819.00,
500028,ATV PROJECTS,T ,Q,3.20,3.40,3.14,3.14,3.14,3.28,14,2457,8061.00,
500029,AUTOLITE(I) ,B ,Q,34.00,35.40,34.00,35.30,34.70,34.90,12,650,22821.00,
500030,AUTORID.FIN ,B ,Q,0.96,0.96,0.96,0.96,0.96,0.92,8,8081,7757.00,
500031,BAJAJ ELECT.,A ,Q,218.00,225.70,214.85,221.70,223.00,220.15,3275,70697,15614581.00,
500032,BAJAJHIND.LT,B ,Q,20.20,20.75,19.70,19.90,19.90,20.45,2837,612035,12323525.00,
500033,FORCE MOTR  ,B ,Q,1185.00,1199.90,1123.70,1131.80,1131.80,1195.10,7969,98282,113844733.00,
500034,BAJFINANCE  ,A ,Q,3281.10,3370.00,3253.25,3339.20,3300.00,3301.35,611,1973,6541672.00,
500038,BALRAM.CHINI,A ,Q,60.00,60.00,57.05,57.50,57.50,60.20,1931,102175,5941794.00,
500039,BANCO PROD. ,B ,Q,160.85,163.60,159.30,161.25,160.00,160.90,999,15639,2526992.00,
500040,CENTURY TEXT,A ,Q,510.50,520.85,501.90,504.35,504.35,516.05,3129,78628,40001553.00,
500041,BANNARI AMAN,B ,Q,1143.00,1175.00,1120.00,1138.40,1141.70,1170.45,92,395,454100.00,
500042,BASF INDIA  ,B ,Q,1256.00,1277.75,1250.00,1251.20,1251.20,1255.40,614,4030,5080964.00,
500043,BATA INDIA  ,A ,Q,1275.00,1300.00,1270.00,1291.10,1292.00,1284.95,1005,10012,12889212.00,
500048,BEML LTD    ,A ,Q,739.00,747.90,725.95,727.90,727.90,747.85,4001,48323,35539091.00,
500049,BHARAT ELECT,A ,Q,2810.00,2826.10,2695.00,2710.70,2710.70,2804.70,5493,26935,74198476.00,
500052,BHANSALI ENG,B ,Q,13.50,13.95,13.20,13.45,13.40,13.63,10,711,9539.00,
500055,BHUSH STEEL ,A ,Q,95.10,95.10,93.05,93.55,93.55,95.15,861,30061,2825539.00,
500057,ABCIL       ,B ,Q,229.05,229.05,219.15,221.30,221.30,225.40,214,2846,637646.00,
500058,BIHAR SPONGE,T ,Q,2.80,2.99,2.80,2.90,2.99,2.87,30,3619,10256.00,
500059,BINANI IND. ,B ,Q,100.50,103.15,99.25,102.10,102.10,101.10,548,20511,2085407.00,
500060,BIRLA ERIC. ,T ,Q,62.00,65.00,62.00,64.10,63.75,63.95,83,7451,479278.00,
500067,BLUE STAR   ,B ,Q,320.00,320.00,315.00,317.00,317.05,323.45,121,1313,416777.00,
500068,DISA INDIA  ,B ,Q,4035.00,4175.00,4035.00,4149.90,4149.90,4035.00,30,68,281401.00,
500069,BNK CAPITAL ,B ,Q,30.00,33.70,28.80,33.60,33.60,32.55,16,589,18308.00,
500074,BPL LTD.    ,B ,Q,21.80,21.80,21.00,21.25,21.25,22.00,432,29098,622309.00,
500078,CAMPH.& ALL ,B ,Q,296.55,300.00,290.25,293.90,291.30,300.10,164,4254,1255697.00,
500083,CENTURY EXT ,B ,Q,1.98,2.04,1.90,1.95,1.95,2.03,238,3638,7052.00,
500084,CESC LTD.   ,A ,Q,650.00,665.00,627.00,631.40,631.40,656.40,3399,39190,25086485.00,
500085,CHAMBAL FERT,B ,Q,63.50,64.00,62.70,63.10,63.10,64.05,873,52334,3327449.00,
500086,EXIDE IND.  ,A ,Q,170.00,176.40,167.75,174.95,174.95,170.25,3821,237724,40988345.00,
500087,CIPLA LTD.  ,A ,Q,641.85,641.85,624.15,631.70,631.70,639.85,3532,79077,49842652.00,
500089,DIC INDIA   ,B ,Q,380.00,385.00,372.10,384.95,384.95,379.85,141,531,201689.00,
500092,CRISIL LTD  ,A ,Q,1869.35,1889.20,1848.00,1852.30,1850.00,1879.50,558,1846,3449370.00,
500093,CROMPT.GREAV,A ,Q,170.60,174.50,168.30,170.40,170.40,172.30,12526,801912,137598586.00,
500096,DABUR (I)   ,A ,Q,236.00,237.45,230.30,230.85,230.85,235.00,1567,34595,8043128.00,
500097,DALMIASUG   ,B ,Q,23.05,24.50,23.05,24.25,24.35,23.05,204,24389,588237.00,
500101,ARVIND Ltd  ,A ,Q,264.00,266.50,255.70,256.45,256.45,266.00,9346,436990,114015583.00,
500102,BALARPUR IND,B ,Q,16.00,16.10,15.50,15.70,15.70,16.00,794,178952,2822694.00,
